corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
185	23577	1	1	0	4098590	ID:ATM1-1 .	null	null	null	null	UNANN	6531331	null	null	null	null
185	23577	2	1	0	4098646	John took the plane from Paris to Baghdad .	null	null	null	null	UNANN	6531387	null	null	null	null
185	23577	2	1	0	4098646	John took the plane from Paris to Baghdad .	7836	plane.n	429	Vehicle	MANUAL	6533125	14	18	MiL	plane
185	23577	2	1	0	4098646	John took the plane from Paris to Baghdad .	8757	take.v	690	Ride_vehicle	MANUAL	6533127	5	8	MiL	took
185	23577	3	1	0	4098647	On the way the plane stopped in Rome .	null	null	null	null	UNANN	6531388	null	null	null	null
185	23577	3	1	0	4098647	On the way the plane stopped in Rome .	10264	stop.v	1024	Halt	MANUAL	6533130	21	27	MiL	stopped
185	23577	3	1	0	4098647	On the way the plane stopped in Rome .	7836	plane.n	429	Vehicle	MANUAL	6533132	15	19	MiL	plane
185	23577	4	1	0	4098648	Steve , who was sitting next to John , got down in Rome .	null	null	null	null	UNANN	6531389	null	null	null	null
185	23577	4	1	0	4098648	Steve , who was sitting next to John , got down in Rome .	137	sit.v	18	Posture	MANUAL	6533136	16	22	MiL	sitting
185	23577	4	1	0	4098648	Steve , who was sitting next to John , got down in Rome .	12825	get.v	1634	Disembarking	MANUAL	6533405	39	41	MJE	got
185	23577	5	1	0	4098649	QN : Is John in Baghdad ?	null	null	null	null	UNANN	6531390	null	null	null	null
185	23577	5	1	0	4098649	QN : Is John in Baghdad ?	10801	in.prep	1178	Interior_profile_relation	MANUAL	6533138	13	14	MiL	in
185	23577	1	2	0	4098650	ID:ATM1-2 .	null	null	null	null	UNANN	6531391	null	null	null	null
185	23577	2	2	0	4098651	John took the plane from Paris to Baghdad .	null	null	null	null	UNANN	6531392	null	null	null	null
185	23577	2	2	0	4098651	John took the plane from Paris to Baghdad .	7836	plane.n	429	Vehicle	MANUAL	6533535	14	18	Hay	plane
185	23577	2	2	0	4098651	John took the plane from Paris to Baghdad .	8757	take.v	690	Ride_vehicle	MANUAL	6533536	5	8	Hay	took
185	23577	3	2	0	4098652	On the way the plane stopped in Rome .	null	null	null	null	UNANN	6531393	null	null	null	null
185	23577	3	2	0	4098652	On the way the plane stopped in Rome .	10264	stop.v	1024	Halt	MANUAL	6533555	21	27	Hay	stopped
185	23577	3	2	0	4098652	On the way the plane stopped in Rome .	7836	plane.n	429	Vehicle	MANUAL	6533556	15	19	Hay	plane
185	23577	4	2	0	4098653	Steve , who was sitting next to John , got down in Rome .	null	null	null	null	UNANN	6531394	null	null	null	null
185	23577	4	2	0	4098653	Steve , who was sitting next to John , got down in Rome .	137	sit.v	18	Posture	MANUAL	6533567	16	22	Hay	sitting
185	23577	4	2	0	4098653	Steve , who was sitting next to John , got down in Rome .	12825	get.v	1634	Disembarking	MANUAL	6533568	39	41	Hay	got
185	23577	5	2	0	4098654	QN : Is John in Paris ?	null	null	null	null	UNANN	6531395	null	null	null	null
185	23577	5	2	0	4098654	QN : Is John in Paris ?	10801	in.prep	1178	Interior_profile_relation	MANUAL	6533140	13	14	MiL	in
185	23577	1	3	0	4098655	ID:ATM1-3 .	null	null	null	null	UNANN	6531396	null	null	null	null
185	23577	2	3	0	4098656	John took the plane from Paris to Baghdad .	null	null	null	null	UNANN	6531397	null	null	null	null
185	23577	2	3	0	4098656	John took the plane from Paris to Baghdad .	7836	plane.n	429	Vehicle	MANUAL	6533537	14	18	Hay	plane
185	23577	2	3	0	4098656	John took the plane from Paris to Baghdad .	8757	take.v	690	Ride_vehicle	MANUAL	6533538	5	8	Hay	took
185	23577	3	3	0	4098657	On the way the plane stopped in Rome .	null	null	null	null	UNANN	6531398	null	null	null	null
185	23577	3	3	0	4098657	On the way the plane stopped in Rome .	10264	stop.v	1024	Halt	MANUAL	6533557	21	27	Hay	stopped
185	23577	3	3	0	4098657	On the way the plane stopped in Rome .	7836	plane.n	429	Vehicle	MANUAL	6533558	15	19	Hay	plane
185	23577	4	3	0	4098658	Steve , who was sitting next to John , got down in Rome .	null	null	null	null	UNANN	6531399	null	null	null	null
185	23577	4	3	0	4098658	Steve , who was sitting next to John , got down in Rome .	137	sit.v	18	Posture	MANUAL	6533569	16	22	Hay	sitting
