corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
175	23832	1	1	0	4107169	One of Sherlock Holmes 's defects -- if , indeed , one may call it a defect -- was that he was exceedingly loath to communicate his full plans to any other person until the instant of their fulfilment .	null	null	null	null	UNANN	6558266	null	null	null	null
175	23832	2	1	0	4107170	Partly it came no doubt from his own masterful nature , which loved to dominate and surprise those who were around him .	null	null	null	null	UNANN	6558267	null	null	null	null
175	23832	3	1	0	4107171	Partly also from his professional caution , which urged him never to take any chances .	null	null	null	null	UNANN	6558268	null	null	null	null
175	23832	4	1	0	4107172	The result , however , was very trying for those who were acting as his agents and assistants .	null	null	null	null	UNANN	6558269	null	null	null	null
175	23832	5	1	0	4107173	I had often suffered under it , but never more so than during that long drive in the darkness .	null	null	null	null	UNANN	6558270	null	null	null	null
175	23832	6	1	0	4107174	The great ordeal was in front of us ; at last we were about to make our final effort , and yet Holmes had said nothing , and I could only surmise what his course of action would be .	null	null	null	null	UNANN	6558271	null	null	null	null
175	23832	7	1	0	4107175	My nerves thrilled with anticipation when at last the cold wind upon our faces and the dark , void spaces on either side of the narrow road told me that we were back upon the moor once again .	null	null	null	null	UNANN	6558272	null	null	null	null
175	23832	8	1	0	4107176	Every stride of the horses and every turn of the wheels was taking us nearer to our supreme adventure .	null	null	null	null	UNANN	6558273	null	null	null	null
175	23832	1	2	0	4107177	Our conversation was hampered by the presence of the driver of the hired wagonette , so that we were forced to talk of trivial matters when our nerves were tense with emotion and anticipation .	null	null	null	null	UNANN	6558274	null	null	null	null
175	23832	2	2	0	4107178	It was a relief to me , after that unnatural restraint , when we at last passed Frankland 's house and knew that we were drawing near to the Hall and to the scene of action .	null	null	null	null	UNANN	6558275	null	null	null	null
175	23832	3	2	0	4107179	We did not drive up to the door but got down near the gate of the avenue .	null	null	null	null	UNANN	6558276	null	null	null	null
175	23832	4	2	0	4107180	The wagonette was paid off and ordered to return to Coombe Tracey forthwith , while we started to walk to Merripit House .	null	null	null	null	UNANN	6558277	null	null	null	null
175	23832	1	3	0	4107181	`` Are you armed , Lestrade ? ''	null	null	null	null	UNANN	6558278	null	null	null	null
175	23832	1	4	0	4107182	The little detective smiled .	null	null	null	null	UNANN	6558279	null	null	null	null
175	23832	1	5	0	4107183	`` As long as I have my trousers I have a hip-pocket , and as long as I have my hip-pocket I have something in it . ''	null	null	null	null	UNANN	6558280	null	null	null	null
175	23832	1	6	0	4107184	`` Good !	null	null	null	null	UNANN	6558281	null	null	null	null
175	23832	2	6	0	4107185	My friend and I are also ready for emergencies .	null	null	null	null	UNANN	6558282	null	null	null	null
175	23832	1	7	0	4107186	`` You 're mighty close about this affair , Mr . Holmes .	null	null	null	null	UNANN	6558283	null	null	null	null
175	23832	2	7	0	4107187	What 's the game now ? ''	null	null	null	null	UNANN	6558284	null	null	null	null
175	23832	1	8	0	4107188	`` A waiting game . ''	null	null	null	null	UNANN	6558285	null	null	null	null
175	23832	1	9	0	4107189	`` My word , it does not seem a very cheerful place , '' said the detective with a shiver , glancing round him at the gloomy slopes of the hill and at the huge lake of fog which lay over the Grimpen Mire .	null	null	null	null	UNANN	6558286	null	null	null	null
175	23832	2	9	0	4107190	`` I see the lights of a house ahead of us . ''	null	null	null	null	UNANN	6558287	null	null	null	null
175	23832	1	10	0	4107191	`` That is Merripit House and the end of our journey .	null	null	null	null	UNANN	6558288	null	null	null	null
175	23832	2	10	0	4107192	I must request you to walk on tiptoe and not to talk above a whisper . ''	null	null	null	null	UNANN	6558289	null	null	null	null
175	23832	1	11	0	4107193	We moved cautiously along the track as if we were bound for the house , but Holmes halted us when we were about two hundred yards from it .	null	null	null	null	UNANN	6558290	null	null	null	null
175	23832	1	12	0	4107194	`` This will do , '' said he .	null	null	null	null	UNANN	6558291	null	null	null	null
175	23832	2	12	0	4107195	`` These rocks upon the right make an admirable screen . ''	null	null	null	null	UNANN	6558292	null	null	null	null
175	23832	1	13	0	4107196	`` We are to wait here ? ''	null	null	null	null	UNANN	6558293	null	null	null	null
175	23832	1	14	0	4107197	`` Yes , we shall make our little ambush here .	null	null	null	null	UNANN	6558294	null	null	null	null
175	23832	2	14	0	4107198	Get into this hollow , Lestrade .	null	null	null	null	UNANN	6558295	null	null	null	null
175	23832	3	14	0	4107199	You have been inside the house , have you not , Watson ?	null	null	null	null	UNANN	6558296	null	null	null	null
175	23832	4	14	0	4107200	Can you tell the position of the rooms ?	null	null	null	null	UNANN	6558297	null	null	null	null
175	23832	5	14	0	4107201	What are those latticed windows at this end ? ''	null	null	null	null	UNANN	6558298	null	null	null	null
175	23832	1	15	0	4107202	`` I think they are the kitchen windows . ''	null	null	null	null	UNANN	6558299	null	null	null	null
175	23832	1	16	0	4107203	`` And the one beyond , which shines so brightly ? ''	null	null	null	null	UNANN	6558300	null	null	null	null
175	23832	1	17	0	4107204	`` That is certainly the dining room . ''	null	null	null	null	UNANN	6558301	null	null	null	null
175	23832	1	18	0	4107205	`` The blinds are up .	null	null	null	null	UNANN	6558302	null	null	null	null
175	23832	2	18	0	4107206	You know the lie of the land best .	null	null	null	null	UNANN	6558303	null	null	null	null
175	23832	3	18	0	4107207	Creep forward quietly and see what they are doing -- but for heaven 's sake do n't let them know that they are watched ! ''	null	null	null	null	UNANN	6558304	null	null	null	null
175	23832	1	19	0	4107208	I tiptoed down the path and stooped behind the low wall which surrounded the stunted orchard .	null	null	null	null	UNANN	6558305	null	null	null	null
175	23832	2	19	0	4107209	Creeping in its shadow I reached a point whence I could look straight through the uncurtained window .	null	null	null	null	UNANN	6558306	null	null	null	null
175	23832	1	20	0	4107210	There were only two men in the room , Sir Henry and Stapleton .	null	null	null	null	UNANN	6558307	null	null	null	null
175	23832	1	20	0	4107210	There were only two men in the room , Sir Henry and Stapleton .	10329	there	660	Existence	MANUAL	6558537	0	4	AlK	There
175	23832	1	20	0	4107210	There were only two men in the room , Sir Henry and Stapleton .	10329	there	660	Existence	MANUAL	6558537	6	9	AlK	were
175	23832	1	20	0	4107210	There were only two men in the room , Sir Henry and Stapleton .	6150	only.a	355	Sole_instance	MANUAL	6558538	11	14	AlK	only
175	23832	1	20	0	4107210	There were only two men in the room , Sir Henry and Stapleton .	3844	two.num	218	Cardinal_numbers	MANUAL	6558539	16	18	AlK	two
175	23832	1	20	0	4107210	There were only two men in the room , Sir Henry and Stapleton .	5526	man.n	304	People	MANUAL	6558543	20	22	AlK	men
175	23832	1	20	0	4107210	There were only two men in the room , Sir Henry and Stapleton .	10801	in.prep	1178	Interior_profile_relation	MANUAL	6558544	24	25	AlK	in
175	23832	1	20	0	4107210	There were only two men in the room , Sir Henry and Stapleton .	3159	room.n	188	Building_subparts	MANUAL	6558545	31	34	AlK	room
175	23832	2	20	0	4107211	They sat with their profiles towards me on either side of the round table .	null	null	null	null	UNANN	6558308	null	null	null	null
175	23832	2	20	0	4107211	They sat with their profiles towards me on either side of the round table .	137	sit.v	18	Posture	MANUAL	6558555	5	7	AlK	sat
175	23832	2	20	0	4107211	They sat with their profiles towards me on either side of the round table .	2776	side.n	143	Part_orientational	MANUAL	6558566	50	53	AlK	side
175	23832	2	20	0	4107211	They sat with their profiles towards me on either side of the round table .	17780	on.prep	2890	Spatial_contact	MANUAL	6558593	40	41	MJE	on
175	23832	3	20	0	4107212	Both of them were smoking cigars , and coffee and wine were in front of them .	null	null	null	null	UNANN	6558309	null	null	null	null
175	23832	3	20	0	4107212	Both of them were smoking cigars , and coffee and wine were in front of them .	6907	smoke.v	386	Ingest_substance	MANUAL	6558557	18	24	AlK	smoking
175	23832	3	20	0	4107212	Both of them were smoking cigars , and coffee and wine were in front of them .	5124	coffee.n	277	Food	MANUAL	6558558	39	44	AlK	coffee
175	23832	4	20	0	4107213	Stapleton was talking with animation , but the baronet looked pale and distrait .	null	null	null	null	UNANN	6558310	null	null	null	null
175	23832	4	20	0	4107213	Stapleton was talking with animation , but the baronet looked pale and distrait .	9979	talk.v	910	Chatting	MANUAL	6558559	14	20	AlK	talking
175	23832	4	20	0	4107213	Stapleton was talking with animation , but the baronet looked pale and distrait .	1323	look.v	67	Give_impression	MANUAL	6558560	55	60	AlK	looked
175	23832	5	20	0	4107214	Perhaps the thought of that lonely walk across the ill - omened moor was weighing heavily upon his mind .	null	null	null	null	UNANN	6558311	null	null	null	null
175	23832	5	20	0	4107214	Perhaps the thought of that lonely walk across the ill - omened moor was weighing heavily upon his mind .	11144	thought.n	22	Cogitation	MANUAL	6558561	12	18	AlK	thought
175	23832	5	20	0	4107214	Perhaps the thought of that lonely walk across the ill - omened moor was weighing heavily upon his mind .	1261	walk.n	64	Self_motion	MANUAL	6558562	35	38	AlK	walk
175	23832	5	20	0	4107214	Perhaps the thought of that lonely walk across the ill - omened moor was weighing heavily upon his mind .	3485	moor.n	193	Biological_area	MANUAL	6558563	64	67	AlK	moor
175	23832	1	21	0	4107215	As I watched them Stapleton rose and left the room , while Sir Henry filled his glass again and leaned back in his chair , puffing at his cigar .	null	null	null	null	UNANN	6558312	null	null	null	null
175	23832	1	21	0	4107215	As I watched them Stapleton rose and left the room , while Sir Henry filled his glass again and leaned back in his chair , puffing at his cigar .	1320	watch.v	66	Perception_active	MANUAL	6558581	5	11	MJE	watched
175	23832	1	21	0	4107215	As I watched them Stapleton rose and left the room , while Sir Henry filled his glass again and leaned back in his chair , puffing at his cigar .	9723	rise.v	770	Change_posture	MANUAL	6558582	28	31	MJE	rose
175	23832	1	21	0	4107215	As I watched them Stapleton rose and left the room , while Sir Henry filled his glass again and leaned back in his chair , puffing at his cigar .	8622	leave.v	57	Departing	MANUAL	6558583	37	40	MJE	left
175	23832	1	21	0	4107215	As I watched them Stapleton rose and left the room , while Sir Henry filled his glass again and leaned back in his chair , puffing at his cigar .	3159	room.n	188	Building_subparts	MANUAL	6558584	46	49	MJE	room
175	23832	1	21	0	4107215	As I watched them Stapleton rose and left the room , while Sir Henry filled his glass again and leaned back in his chair , puffing at his cigar .	17228	while.c	1895	Temporal_collocation	MANUAL	6558585	53	57	MJE	while
175	23832	1	21	0	4107215	As I watched them Stapleton rose and left the room , while Sir Henry filled his glass again and leaned back in his chair , puffing at his cigar .	3908	fill.v	59	Filling	MANUAL	6558586	69	74	MJE	filled
175	23832	1	21	0	4107215	As I watched them Stapleton rose and left the room , while Sir Henry filled his glass again and leaned back in his chair , puffing at his cigar .	9385	lean.v	770	Change_posture	MANUAL	6558588	96	101	MJE	leaned
175	23832	1	21	0	4107215	As I watched them Stapleton rose and left the room , while Sir Henry filled his glass again and leaned back in his chair , puffing at his cigar .	15301	puff.v	386	Ingest_substance	MANUAL	6558589	123	129	MJE	puffing
175	23832	1	21	0	4107215	As I watched them Stapleton rose and left the room , while Sir Henry filled his glass again and leaned back in his chair , puffing at his cigar .	1680	glass.n	78	Containers	MANUAL	6558590	80	84	MJE	glass
175	23832	1	21	0	4107215	As I watched them Stapleton rose and left the room , while Sir Henry filled his glass again and leaned back in his chair , puffing at his cigar .	10801	in.prep	1178	Interior_profile_relation	MANUAL	6558592	108	109	MJE	in
175	23832	2	21	0	4107216	I heard the creak of a door and the crisp sound of boots upon gravel .	null	null	null	null	UNANN	6558313	null	null	null	null
175	23832	2	21	0	4107216	I heard the creak of a door and the crisp sound of boots upon gravel .	1532	hear.v	70	Perception_experience	MANUAL	6558540	2	6	JKs	heard
175	23832	2	21	0	4107216	I heard the creak of a door and the crisp sound of boots upon gravel .	9648	creak.n	850	Sounds	MANUAL	6558541	12	16	JKs	creak
175	23832	2	21	0	4107216	I heard the creak of a door and the crisp sound of boots upon gravel .	10268	door.n	1025	Connecting_architecture	MANUAL	6558542	23	26	JKs	door
175	23832	2	21	0	4107216	I heard the creak of a door and the crisp sound of boots upon gravel .	10906	sound.n	850	Sounds	MANUAL	6558567	42	46	AlK	sound
175	23832	2	21	0	4107216	I heard the creak of a door and the crisp sound of boots upon gravel .	3558	boot.n	134	Clothing	MANUAL	6558568	51	55	AlK	boots
175	23832	2	21	0	4107216	I heard the creak of a door and the crisp sound of boots upon gravel .	17809	upon.prep	2890	Spatial_contact	MANUAL	6558569	57	60	AlK	upon
175	23832	3	21	0	4107217	The steps passed along the path on the other side of the wall under which I crouched .	null	null	null	null	UNANN	6558314	null	null	null	null
175	23832	3	21	0	4107217	The steps passed along the path on the other side of the wall under which I crouched .	10920	pass.v	61	Path_shape	MANUAL	6558571	10	15	AlK	passed
175	23832	3	21	0	4107217	The steps passed along the path on the other side of the wall under which I crouched .	6765	along.prep	199	Locative_relation	MANUAL	6558572	17	21	AlK	along
175	23832	3	21	0	4107217	The steps passed along the path on the other side of the wall under which I crouched .	3773	path.n	203	Roadways	MANUAL	6558573	27	30	AlK	path
175	23832	3	21	0	4107217	The steps passed along the path on the other side of the wall under which I crouched .	17780	on.prep	2890	Spatial_contact	MANUAL	6558574	32	33	AlK	on
175	23832	3	21	0	4107217	The steps passed along the path on the other side of the wall under which I crouched .	10176	other.n	1001	Increment	MANUAL	6558575	39	43	AlK	other
175	23832	3	21	0	4107217	The steps passed along the path on the other side of the wall under which I crouched .	2776	side.n	143	Part_orientational	MANUAL	6558576	45	48	AlK	side
175	23832	3	21	0	4107217	The steps passed along the path on the other side of the wall under which I crouched .	10070	wall.n	971	Architectural_part	MANUAL	6558577	57	60	AlK	wall
175	23832	3	21	0	4107217	The steps passed along the path on the other side of the wall under which I crouched .	17754	under.prep	2880	Non-gradable_proximity	MANUAL	6558578	62	66	AlK	under
175	23832	3	21	0	4107217	The steps passed along the path on the other side of the wall under which I crouched .	131	crouch.v	18	Posture	MANUAL	6558580	76	83	AlK	crouched
175	23832	3	21	0	4107217	The steps passed along the path on the other side of the wall under which I crouched .	1234	step.n	64	Self_motion	MANUAL	6558591	4	8	MJE	steps
175	23832	4	21	0	4107218	Looking over , I saw the naturalist pause at the door of an outhouse in the corner of the orchard .	null	null	null	null	UNANN	6558315	null	null	null	null
175	23832	4	21	0	4107218	Looking over , I saw the naturalist pause at the door of an outhouse in the corner of the orchard .	1302	look.v	66	Perception_active	MANUAL	6558594	0	6	AlK	Looking
175	23832	4	21	0	4107218	Looking over , I saw the naturalist pause at the door of an outhouse in the corner of the orchard .	1535	see.v	70	Perception_experience	MANUAL	6558595	17	19	AlK	saw
175	23832	4	21	0	4107218	Looking over , I saw the naturalist pause at the door of an outhouse in the corner of the orchard .	10268	door.n	1025	Connecting_architecture	MANUAL	6558596	49	52	AlK	door
175	23832	4	21	0	4107218	Looking over , I saw the naturalist pause at the door of an outhouse in the corner of the orchard .	3114	outhouse.n	173	Buildings	MANUAL	6558597	60	67	AlK	outhouse
175	23832	5	21	0	4107219	A key turned in a lock , and as he passed in there was a curious scuffling noise from within .	null	null	null	null	UNANN	6558316	null	null	null	null
175	23832	5	21	0	4107219	A key turned in a lock , and as he passed in there was a curious scuffling noise from within .	7609	key.v	415	Damaging	UNANN	6558598	null	null	null	null
175	23832	5	21	0	4107219	A key turned in a lock , and as he passed in there was a curious scuffling noise from within .	7609	key.v	415	Damaging	UNANN	6558598	2	4	AlK	key
175	23832	5	21	0	4107219	A key turned in a lock , and as he passed in there was a curious scuffling noise from within .	12882	turn.v	670	Moving_in_place	MANUAL	6558599	6	11	AlK	turned
175	23832	5	21	0	4107219	A key turned in a lock , and as he passed in there was a curious scuffling noise from within .	10907	noise.n	850	Sounds	MANUAL	6558602	75	79	AlK	noise
175	23832	5	21	0	4107219	A key turned in a lock , and as he passed in there was a curious scuffling noise from within .	12878	pass.v	1310	Traversing	MANUAL	6558603	35	40	AlK	passed
175	23832	5	21	0	4107219	A key turned in a lock , and as he passed in there was a curious scuffling noise from within .	10329	there	660	Existence	MANUAL	6558604	45	49	AlK	there
175	23832	5	21	0	4107219	A key turned in a lock , and as he passed in there was a curious scuffling noise from within .	10329	there	660	Existence	MANUAL	6558604	51	53	AlK	was
175	23832	6	21	0	4107220	He was only a minute or so inside , and then I heard the key turn once more and he passed me and re - entered the house .	null	null	null	null	UNANN	6558317	null	null	null	null
175	23832	6	21	0	4107220	He was only a minute or so inside , and then I heard the key turn once more and he passed me and re - entered the house .	3873	minute.n	224	Measure_duration	UNANN	6558605	null	null	null	null
175	23832	6	21	0	4107220	He was only a minute or so inside , and then I heard the key turn once more and he passed me and re - entered the house .	3873	minute.n	224	Measure_duration	UNANN	6558605	14	19	AlK	minute
175	23832	6	21	0	4107220	He was only a minute or so inside , and then I heard the key turn once more and he passed me and re - entered the house .	17222	inside.prep	1178	Interior_profile_relation	UNANN	6558606	null	null	null	null
175	23832	6	21	0	4107220	He was only a minute or so inside , and then I heard the key turn once more and he passed me and re - entered the house .	17222	inside.prep	1178	Interior_profile_relation	UNANN	6558606	27	32	AlK	inside
175	23832	6	21	0	4107220	He was only a minute or so inside , and then I heard the key turn once more and he passed me and re - entered the house .	1532	hear.v	70	Perception_experience	UNANN	6558607	null	null	null	null
175	23832	6	21	0	4107220	He was only a minute or so inside , and then I heard the key turn once more and he passed me and re - entered the house .	1532	hear.v	70	Perception_experience	UNANN	6558607	47	51	AlK	heard
175	23832	6	21	0	4107220	He was only a minute or so inside , and then I heard the key turn once more and he passed me and re - entered the house .	12882	turn.v	670	Moving_in_place	UNANN	6558608	null	null	null	null
