SILVER:205	23719	4	6	0	4101521	I LEFT OILSTATES BACK IN MARCH WITH ANOTHER COMPANY .	11113	company.n	365	Businesses	MANUAL	6545094	44	50	KmG	COMPANY
LINKED:[8	8	44	50	bn:00021287n	http://dbpedia.org/resource/Company_(military_unit)	http://babelnet.org/rdf/s00021287n	1.0	1.0	0.5	BABELFY]
RANK:=== COUNTER  Counter 29158 ===

SELECTED:[]
WRONG!
SILVER:205	23719	5	6	0	4101522	DID A LOT OF TRAVELING AND THEY ( OILSTATES ) MADE ME A SWEET OFFER TO COME BACK .	13232	a	189	Quantified_mass	MANUAL	6545095	6	8	KmG	LOT
LINKED:[2	2	6	8	bn:00052061n	http://dbpedia.org/resource/Land_lot	http://babelnet.org/rdf/s00052061n	0.0	0.0	0.0	MCS]
RANK:=== COUNTER  Counter 29160 ===

SELECTED:[]
WRONG!
SILVER:205	23719	1	7	0	4101524	WHO 'S GETTING MARRIED ?	10393	get.v	1070	Transition_to_state	MANUAL	6545098	7	13	KmG	GETTING
LINKED:[2	2	7	13	bn:00001004n		http://babelnet.org/rdf/s00001004n	0.0	0.0	0.0	MCS]
RANK:=== COUNTER  Counter 29164 ===

SELECTED:[]
WRONG!
SILVER:205	23719	1	7	0	4101524	WHO 'S GETTING MARRIED ?	9028	marry.v	723	Forming_relationships	MANUAL	6545101	15	21	KmG	MARRIED
LINKED:[3	3	15	21	bn:00053530n		http://babelnet.org/rdf/s00053530n	0.0	0.0	0.0	MCS]
RANK:=== COUNTER  Counter 29166 ===

SELECTED:[]
WRONG!
SILVER:205	23719	2	7	0	4101525	SOUNDS LIKE THIS IS GOING TO BE A GREAT BACHELOR PARTY .	1327	sound.v	67	Give_impression	MANUAL	6545102	0	5	KmG	SOUNDS
LINKED:[0	0	0	5	bn:00000986n	http://dbpedia.org/resource/Acoustic_wave	http://babelnet.org/rdf/s00000986n	1.0	0.33333334	0.02173913	BABELFY]
RANK:=== COUNTER  Counter 29168 ===

SELECTED:[]
WRONG!
SILVER:205	23719	2	7	0	4101525	SOUNDS LIKE THIS IS GOING TO BE A GREAT BACHELOR PARTY .	6316	great.a	354	Desirability	MANUAL	6545103	34	38	KmG	GREAT
LINKED:[8	8	34	38	bn:00041551n		http://babelnet.org/rdf/s00041551n	0.0	0.0	0.0	MCS]
RANK:=== COUNTER  Counter 29170 ===

SELECTED:[]
WRONG!
SILVER:205	23719	2	7	0	4101525	SOUNDS LIKE THIS IS GOING TO BE A GREAT BACHELOR PARTY .	2521	party.n	125	Social_event	MANUAL	6545105	49	53	KmG	PARTY
LINKED:[10	10	49	53	bn:00060834n	http://dbpedia.org/resource/Political_party	http://babelnet.org/rdf/s00060834n	0.0	0.0	0.0	MCS]
RANK:=== COUNTER  Counter 29174 ===

SELECTED:[]
WRONG!
filename	LUCorpus-v0.3__ENRON-pearson-email-25jul02.xml
docAnnotations	31
docManual	16
docUnannotated	15
sentences	15
paragraphs	8
Overlapping	11
Disambiguated	0
TP	0
TN	15
FP	0
FN	16
P	0.0
R	0.0
F	0.0
A	0.4838709677419355
