corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
246	25740	1	1	0	4217102	Each spatula is 0.2 micrometer long ( one five-millionth of a meter ) , or just below the wavelength of visible light .	null	null	null	null	UNANN	6773928	null	null	null	null
246	25740	2	1	0	4217103	Obviously , the exact value of the adhesion force of a spatula varies with the surface energy of the substrate it adheres to .	null	null	null	null	UNANN	6773929	null	null	null	null
246	25740	3	1	0	4217104	Wok cooking is done with a long handled ''chahn ''	null	null	null	null	UNANN	6773930	null	null	null	null
246	25740	4	1	0	4217105	( spatula ) or ''hoak ''	null	null	null	null	UNANN	6773931	null	null	null	null
246	25740	5	1	0	4217106	( ladle ) .	null	null	null	null	UNANN	6773932	null	null	null	null
246	25740	6	1	0	4217107	A round bottom wok enables the traditional round spatula or ladle to pick all the food up at the bottom of the wok and toss it around easily ; this is difficult with a flat bottom .	null	null	null	null	UNANN	6773933	null	null	null	null
246	25740	7	1	0	4217108	The health care provider then collects a sample of cells from the outer opening or '''os ''' of the cervix by scraping it with an Aylesbury spatula .	null	null	null	null	UNANN	6773934	null	null	null	null
246	25740	8	1	0	4217109	A plastic-fronded broom is sometimes used in place of the spatula and brush .	null	null	null	null	UNANN	6773935	null	null	null	null
246	25740	9	1	0	4217110	The broom is not as good a collection device , since it is much less effective at collecting endocervical material than the spatula and brush .	null	null	null	null	UNANN	6773936	null	null	null	null
246	25740	10	1	0	4217111	The `` spatula test '' is a clinical test for tetanus that involves touching the posterior pharyngeal wall with a sterile , soft-tipped instrument , and observing the effect .	null	null	null	null	UNANN	6773937	null	null	null	null
246	25740	11	1	0	4217112	A positive test result is the involuntary contraction of the jaw ( biting down on the `` spatula '' ) , and a negative test result would normally be a gag reflex attempting to expel the foreign object .	null	null	null	null	UNANN	6773938	null	null	null	null
246	25740	12	1	0	4217113	A short report in ''The American Journal of Tropical Medicine and Hygiene '' states that , in a patient research study , the spatula test had a high specificity ( zero false-positive test results ) and a high sensitivity ( 94% of infected patients produced a positive test result ) .	null	null	null	null	UNANN	6773939	null	null	null	null
246	25740	1	2	0	4217114	A newer method of making home-made ice cream is to add liquid nitrogen to the mixture while stirring it using a spoon or spatula .	null	null	null	null	UNANN	6773940	null	null	null	null
246	25740	2	2	0	4217115	Cooking required simple cooking utensils such as butcher knives , large spoons , spatulas , ladles , Dutch ovens , pots and pans , grills , spits , coffee pots and an iron tripod to suspend the pans and pots over the fire .	null	null	null	null	UNANN	6773941	null	null	null	null
246	25740	3	2	0	4217116	See frosting spatula .	null	null	null	null	UNANN	6773942	null	null	null	null
246	25740	4	2	0	4217117	Sweeping across the top of the measure with the back of a straight knife or the blade of a spatula is a common leveling method .	null	null	null	null	UNANN	6773943	null	null	null	null
246	25740	5	2	0	4217118	Dry food items , such as eggs in shell , are buried in the hot salt and occasionally turned with a spatula .	null	null	null	null	UNANN	6773944	null	null	null	null
246	25740	6	2	0	4217119	Nuts are buried in the hot sand and occasionally turned with a spatula , then the sand and nuts are separated through a wire-mesh screen .	null	null	null	null	UNANN	6773945	null	null	null	null
246	25740	7	2	0	4217120	The consumer carefully uses a wooden stick ( formerly often a spatula of precious metal ) to transfer an alkaline component into the quid without touching his flesh with the corrosive substance .	null	null	null	null	UNANN	6773946	null	null	null	null
246	25740	8	2	0	4217121	Razi contributed in many ways to the early practice of pharmacy by compiling texts , in which he introduces the use of 'mercurial ointments ' and his development of apparatus such as mortars , flasks , spatulas and phials , which were used in pharmacies until the early twentieth century The batter and other ingredients are fried on both sides on either a teppan or a pan using metal spatulas that are later used to slice the dish when it has finished cooking .	null	null	null	null	UNANN	6773947	null	null	null	null
246	25740	9	2	0	4217122	The equipment necessary for the manufacture of cannabutter can be as simple as a sauce pan and spatula or as complicated as a double-boiler , or slow cooker , cheesecloth or tea strainer and funnel .	null	null	null	null	UNANN	6773948	null	null	null	null
246	25740	1	3	0	4217123	The chef might juggle utensils , flip a shrimp tail into their shirt pocket , catch an egg in their hat , toss an egg up in the air and split it with a spatula , flip flattened shrimp pieces into the diners ' mouths , or arrange onion rings into fire-shooting volcanoes .	null	null	null	null	UNANN	6773949	null	null	null	null
246	25740	2	3	0	4217124	Examples of mechanical exfoliation include Pap smears , where cells are scraped from the cervix with a cervical spatula , or bronchial brushings , where a bronchoscope is inserted into the trachea and used to evaluate a visible lesion by brushing cells from its surface and subjecting them to cytopathologic analysis .	null	null	null	null	UNANN	6773950	null	null	null	null
246	25740	3	3	0	4217125	Tenango is noted for the making of wooden utensils such as spoons and spatulas .	null	null	null	null	UNANN	6773951	null	null	null	null
246	25740	4	3	0	4217126	Chrome surfaces can not be cleaned with abrasives and sharp/hardened metal utensils common in commercial cooking environments , so special spatulas , brushes and cleansers are required for the operation and maintenance of these products .	null	null	null	null	UNANN	6773952	null	null	null	null
246	25740	5	3	0	4217127	Casual impact from metal spatulas or pots and pans tend to deform the substrate , causing the chrome VI to crack and spall - T-1 steel has three times the yield strength of A36 steel , offering effective proof against this effect .	null	null	null	null	UNANN	6773953	null	null	null	null
246	25740	6	3	0	4217128	Seasoning a griddle involves applying a coat of vegetable oil , spreading it with a lint-free towel , and then removing it with a spatula or scraper .	null	null	null	null	UNANN	6773954	null	null	null	null
246	25740	7	3	0	4217129	Cleaning a griddle while it is hot is easier than cleaning a cold griddle with congealed grease and oil deposits , so the first step to cleaning a griddle is removal of bulk carbon and grease deposits with a razor scraper or steel spatula while the griddle is still warm ( over ) .	null	null	null	null	UNANN	6773955	null	null	null	null
246	25740	8	3	0	4217130	Chefs and cooks will often clean their cooking spatulas on the back splash of the griddle , scraping off grease and food debris which then tends to accumulate in flue area of the griddle .	null	null	null	null	UNANN	6773956	null	null	null	null
246	25740	9	3	0	4217131	All the gars are relatively large fish , but the alligator gar ''Atractosteus spatula '' is the largest , as specimens having been recorded up to in length .	null	null	null	null	UNANN	6773957	null	null	null	null
246	25740	10	3	0	4217132	Camp cooks making pancakes in a moderate-size pan often simplify their work and speed up their service by pouring enough batter to make one large , moderate-thickness pancake that takes up the entire pan and then cutting the final product with the spatula to serve individual portions .	null	null	null	null	UNANN	6773958	null	null	null	null
246	25740	1	4	0	4217133	He tried alchemy and potions for some time and eventually bruised himself with a spatula .	null	null	null	null	UNANN	6773959	null	null	null	null
246	25740	2	4	0	4217134	The batter is spread evenly over the cooking surface of the pan or plate either by tilting the pan or by distributing the batter with an offset spatula .	null	null	null	null	UNANN	6773960	null	null	null	null
246	25740	3	4	0	4217135	On a lightly oiled griddle at medium temperature , the steak slices are quickly browned and then scrambled into smaller pieces with a flat spatula .	null	null	null	null	UNANN	6773961	null	null	null	null
246	25740	4	4	0	4217136	The mixture is then scooped up with a spatula , pressed into the roll , and cut in half .	null	null	null	null	UNANN	6773962	null	null	null	null
246	25740	5	4	0	4217137	Another , more famous instance was the `` spatula '' game , where Winnicott would place a `` spatula ''	null	null	null	null	UNANN	6773963	null	null	null	null
246	25740	6	4	0	4217138	( tongue depressor ) an object always available in a pediatrician 's officewithin a child 's reach for him to play with .	null	null	null	null	UNANN	6773964	null	null	null	null
246	25740	7	4	0	4217139	Another , more famous instance was the `` spatula '' game , where Winnicott would place a `` spatula ''	null	null	null	null	UNANN	6773965	null	null	null	null
246	25740	8	4	0	4217140	( tongue depressor ) an object always available in a pediatrician 's officewithin a child 's reach for him to play with .	null	null	null	null	UNANN	6773966	null	null	null	null
246	25740	9	4	0	4217141	The album booklet folds out to reveal six different covers , one for each band member ( each photo depicting the member with bizarre facial-wear made out of ordinary kitchen objects like spatulas , spoons , forks etc. ) .	null	null	null	null	UNANN	6773967	null	null	null	null
246	25740	10	4	0	4217142	Wax is applied with a large spatula in the direction of hair growth , which is downwards .	null	null	null	null	UNANN	6773968	null	null	null	null
246	25740	11	4	0	4217143	A '''spatula ''' is a small implement with a broad , flat , flexible blade used to mix , spread and lift materials including foods , drugs , plaster and paints .	null	null	null	null	UNANN	6773969	null	null	null	null
246	25740	12	4	0	4217144	The word spatula is known to have been used in English since 1525 .	null	null	null	null	UNANN	6773970	null	null	null	null
246	25740	1	5	0	4217145	Left-handed spatulas exist , but are rare .	null	null	null	null	UNANN	6773971	null	null	null	null
246	25740	2	5	0	4217146	In American English , the rubber scraper ( left ) is called a spatula by some because it is a flat utensil used for scraping or spreading .	null	null	null	null	UNANN	6773972	null	null	null	null
246	25740	3	5	0	4217147	A frosting spatula is also known as palette knife and is usually made of metal or plastic .	null	null	null	null	UNANN	6773973	null	null	null	null
246	25740	4	5	0	4217148	Bowl and plate scrapers are sometimes called spatulas .	null	null	null	null	UNANN	6773974	null	null	null	null
246	25740	5	5	0	4217149	The spatula is flipping over the top three pancakes , with the result seen below .	null	null	null	null	UNANN	6773975	null	null	null	null
246	25740	6	5	0	4217150	A flat metal spatula , ''khunti '' , is used often , along with ''hata ''	null	null	null	null	UNANN	6773976	null	null	null	null
246	25740	7	5	0	4217151	( scoop with a long handle ) , ''jhanjri ''	null	null	null	null	UNANN	6773977	null	null	null	null
246	25740	8	5	0	4217152	( round shaped sieve like spatula to deep fry food ) , the ''sharashi ''	null	null	null	null	UNANN	6773978	null	null	null	null
246	25740	9	5	0	4217153	( pincers to remove vessels from the fire ) , the ghuntni ( wooden hand blender ) for pureing dal and the old wooden ''belun chaki ''	null	null	null	null	UNANN	6773979	null	null	null	null
246	25740	10	5	0	4217154	( round pastry board and rolling pin ) , and the ''shil nora '' , which is a rough form of a mortar and pestle , or grinding stone is also used .	null	null	null	null	UNANN	6773980	null	null	null	null
246	25740	11	5	0	4217155	A flat metal spatula , ''khunti '' , is used often , along with ''hata ''	null	null	null	null	UNANN	6773981	null	null	null	null
246	25740	12	5	0	4217156	( scoop with a long handle ) , ''jhanjri ''	null	null	null	null	UNANN	6773982	null	null	null	null
246	25740	13	5	0	4217157	( round shaped sieve like spatula to deep fry food ) , the ''sharashi ''	null	null	null	null	UNANN	6773983	null	null	null	null
246	25740	14	5	0	4217158	( pincers to remove vessels from the fire ) , the ghuntni ( wooden hand blender ) for pureing dal and the old wooden ''belun chaki ''	null	null	null	null	UNANN	6773984	null	null	null	null
246	25740	15	5	0	4217159	( round pastry board and rolling pin ) , and the ''shil nora '' , which is a rough form of a mortar and pestle , or grinding stone is also used .	null	null	null	null	UNANN	6773985	null	null	null	null
246	25740	16	5	0	4217160	The spatula scene in the kitchen of the general 's house was filmed at three in the morning , after the cast and crew had been up the entire day .	null	null	null	null	UNANN	6773986	null	null	null	null
246	25740	17	5	0	4217161	Icing can be applied with a utensil such as a knife or spatula , or it can be applied by drizzling or dipping ( see glaze ) , or by rolling the icing out and draping it over the cake .	null	null	null	null	UNANN	6773987	null	null	null	null
246	25740	18	5	0	4217162	A type of bone spatula , perhaps for scooping flour , is a distinctive artifact .	null	null	null	null	UNANN	6773988	null	null	null	null
246	25740	1	6	0	4217163	Using fine spatulas , brushes or droppers , the enameler places the fine colored powder into each cloison .	null	null	null	null	UNANN	6773989	null	null	null	null
246	25740	2	6	0	4217164	Cooking equipment was typically light and included only simple cooking utensils such as butcher knives , forks , metal plates and cups , spoons , large spoons , spatulas , ladles , Dutch ovens , pots and pans , grills , spits , coffee pots , pot hooks and an iron tripod to suspend the pans and pots over the fire .	null	null	null	null	UNANN	6773990	null	null	null	null
246	25740	3	6	0	4217165	Piers lost one of the spatulas he was using to put the NOAX onto the samples of heat shield material .	null	null	null	null	UNANN	6773991	null	null	null	null
246	25740	4	6	0	4217166	As he lost it he said , `` Guys I 've got to tell you my spatula 's escaped .	null	null	null	null	UNANN	6773992	null	null	null	null
246	25740	5	6	0	4217167	''	null	null	null	null	UNANN	6773993	null	null	null	null
246	25740	6	6	0	4217168	Mission controllers saw the spatula float away over the port side of the shuttle payload bay .	null	null	null	null	UNANN	6773994	null	null	null	null
