corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
246	25736	1	1	0	4216721	Partially as a response to chronic underfunding of education for African Americans in the South , the Rosenwald Fund began funding the building of what came to be known as Rosenwald Schools .	null	null	null	null	UNANN	6773507	null	null	null	null
246	25736	2	1	0	4216722	In Alabama these schools were designed and the construction partially financed with Rosenwald funds .	null	null	null	null	UNANN	6773508	null	null	null	null
246	25736	3	1	0	4216723	The fund provided one-third of the construction money , with the community and state splitting the remainder .	null	null	null	null	UNANN	6773509	null	null	null	null
246	25736	4	1	0	4216724	Public school funding is appropriated through the Alabama Legislature through the Education Trust Fund .	null	null	null	null	UNANN	6773510	null	null	null	null
246	25736	5	1	0	4216725	He expanded his war powers , and imposed a blockade on all the Confederate shipping ports , disbursed funds before appropriation by Congress , and after suspending ''habeas corpus '' , arrested and imprisoned thousands of suspected Confederate sympathizers .	null	null	null	null	UNANN	6773511	null	null	null	null
246	25736	6	1	0	4216726	In 1794 , US Congress voted for funds appropriation for warship construction , to counter Mediterranean threats .	null	null	null	null	UNANN	6773512	null	null	null	null
246	25736	7	1	0	4216727	External debt has been virtually eliminated , and the government has accumulated large savings in the oil-stabilization fund ( FRR ) .	null	null	null	null	UNANN	6773513	null	null	null	null
246	25736	8	1	0	4216728	The fund was originally proposed by Governor Keith Miller on the eve of the 1969 Prudhoe Bay lease sale , out of fear that the legislature would spend the entire proceeds of the sale ( which amounted to $900 million ) at once , and was later championed by Governor Jay Hammond and Kenai state representative Hugh Malone .	null	null	null	null	UNANN	6773514	null	null	null	null
246	25736	9	1	0	4216729	It has served as an attractive political prospect ever since , diverting revenues which would normally be deposited into the general fund .	null	null	null	null	UNANN	6773515	null	null	null	null
246	25736	10	1	0	4216730	The Alaska Constitution was written so as to discourage dedicating state funds for a particular purpose .	null	null	null	null	UNANN	6773516	null	null	null	null
246	25736	1	2	0	4216731	From its initial principal of $734,000 , the fund has grown to $40 and nbsp ; billion as a result of oil royalties and capital investment programs .	null	null	null	null	UNANN	6773517	null	null	null	null
246	25736	2	2	0	4216732	Starting in 1982 , dividends from the fund 's annual growth have been paid out each year to eligible Alaskans , ranging from an initial $1,000.00 in 1982 ( equal to three years ' payout , as the distribution of payments was held up in a lawsuit over the distribution scheme ) to $3,269.00 in 2008 ( which included a one-time $1,200.00 `` Resource Rebate '' ) .	null	null	null	null	UNANN	6773518	null	null	null	null
246	25736	3	2	0	4216733	The failure of Clarmac Roads Ltd had a flow-on effect to Claridge's Company , which was itself compulsorily wound up , ceasing operations in 1917 , having invested a substantial amount of funds into the new venture , both at the outset , and in a subsequent attempt to save the Clarmac Company .	null	null	null	null	UNANN	6773519	null	null	null	null
246	25736	4	2	0	4216734	Third category films also placed the filmmakers in danger of being accused of wasting public funds , which could have serious effects on their future productivity .	null	null	null	null	UNANN	6773520	null	null	null	null
246	25736	5	2	0	4216735	# Expenditures by the United States of America will be paid by funds raised by state legislatures , and apportioned to the states based on the real property values of each .	null	null	null	null	UNANN	6773521	null	null	null	null
246	25736	6	2	0	4216736	With a growing economy , Alberta has several financial institutions dealing with civil and private funds .	null	null	null	null	UNANN	6773522	null	null	null	null
246	25736	7	2	0	4216737	AHS also funds all ground ambulance services in the province , as well as the province-wide STARS ( Shock Trauma Air Rescue Society ) air ambulance service .	null	null	null	null	UNANN	6773523	null	null	null	null
246	25736	8	2	0	4216738	The provincial government pools the property tax funds from across the province and distributes them , according to a formula , to public and separate school jurisdictions and Francophone authorities .	null	null	null	null	UNANN	6773524	null	null	null	null
246	25736	9	2	0	4216739	One of the main drivers for the current economic recovery is the return of over 5 million expatriates , who brought with them fresh energy , entrepreneurship and wealth-creating skills as well as much needed funds to start up businesses .	null	null	null	null	UNANN	6773525	null	null	null	null
246	25736	10	2	0	4216740	Meanwhile the State Oil Fund of Azerbaijan was established as an extra-budgetary fund to ensure the macroeconomic stability , transparency in the management of oil revenue , and the safeguarding of resources for future generations .	null	null	null	null	UNANN	6773526	null	null	null	null
246	25736	1	3	0	4216741	Dynamic development of volume of special and involved funds of the banks has created effective conditions for enlargement of active operations .	null	null	null	null	UNANN	6773527	null	null	null	null
246	25736	2	3	0	4216742	Once producer has made the decision to invest in the project and the original creator of the work is on board , the producer pitches to the Production Committee and other potentially interested parties in order to secure funds .	null	null	null	null	UNANN	6773528	null	null	null	null
246	25736	3	3	0	4216743	It was only ten years later , after the company had attracted an investor that funds became available for construction of major car plant at the Ingolstadt head office site .	null	null	null	null	UNANN	6773529	null	null	null	null
246	25736	4	3	0	4216744	Since Bell was becoming increasingly affluent , he used his prize money to create endowment funds ( the 'Volta Fund ' ) and institutions in and around the United States capital of Washington, D.C. As a national nonprofit organization , the institute funds its efforts through foundation and government grants , contributions and sponsorships from large corporations and small companies , donations from individuals and its AFI membership program .	null	null	null	null	UNANN	6773530	null	null	null	null
