corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
246	25737	1	1	0	4216812	For someone born in 2000 , a US study estimated an average lifetime cost of $ ( net present value in dollars , inflation-adjusted from 2003 estimate ) , with about 10% medical care , 30% extra education and other care , and 60% lost economic productivity .	null	null	null	null	UNANN	6773626	null	null	null	null
246	25737	2	1	0	4216813	Taking our two dominos , it requires someone to intentionally knock the dominos over as they can not fall themselves .	null	null	null	null	UNANN	6773627	null	null	null	null
246	25737	3	1	0	4216814	Pure altruism consists of sacrificing something for someone other than the self ( e.g. Another method is to announce publicly that someone has given a large donation .	null	null	null	null	UNANN	6773628	null	null	null	null
246	25737	4	1	0	4216815	One is that people will be more helping when they know that their helping behavior will be communicated to people they will interact with later , is publicly announced , is discussed , or is simply being observed by someone else .	null	null	null	null	UNANN	6773629	null	null	null	null
246	25737	5	1	0	4216816	Although they `` were expecting to see activity in the brain 's reward centers , '' based on the idea that `` people perform altruistic acts because they feel good about it , '' what they found was that `` another part of the brain was also involved , and it was quite sensitive to the difference between doing something for personal gain and doing it for someone else 's gain .	null	null	null	null	UNANN	6773630	null	null	null	null
246	25737	6	1	0	4216817	The ''empathy-altruism hypothesis '' basically states that psychological altruism does exist and is evoked by the empathic desire to help someone who is suffering .	null	null	null	null	UNANN	6773631	null	null	null	null
246	25737	7	1	0	4216818	Upon learning that her scorn had been misdirected , Cherryl puts off apologizing to Dagny out of shame until the night before she commits suicide , when she confesses to Dagny that when she married Jim , she thought he had the heroic qualities that she had looked up to - she thought she was marrying someone like Dagny .	null	null	null	null	UNANN	6773632	null	null	null	null
246	25737	8	1	0	4216819	Nicolas Flamel is a well known alchemist , but a good example of pseudepigraphy , the practice of giving your works the name of someone else , usually more famous .	null	null	null	null	UNANN	6773633	null	null	null	null
246	25737	9	1	0	4216820	Eliot said he found the view `` not convincing '' , and contended that the pigs were made out to be the best to run the farm ; he posited that someone might argue `` what was needed .. was not more communism but more public-spirited pigs '' .	null	null	null	null	UNANN	6773634	null	null	null	null
246	25737	1	2	0	4216821	In law , an '''answer ''' was originally a solemn assertion in opposition to someone or something , and thus generally any counter-statement or defense , a reply to a question or response , or objection , or a correct solution of a problem .	null	null	null	null	UNANN	6773635	null	null	null	null
246	25737	2	2	0	4216822	Often there are handles behind the seat for someone else to do the pushing or input devices for caregivers .	null	null	null	null	UNANN	6773636	null	null	null	null
246	25737	3	2	0	4216823	If , for instance , someone says `` I buried $100 in the bank '' , most people would not think someone used a shovel to dig in the mud .	null	null	null	null	UNANN	6773637	null	null	null	null
246	25737	4	2	0	4216824	If , for instance , someone says `` I buried $100 in the bank '' , most people would not think someone used a shovel to dig in the mud .	null	null	null	null	UNANN	6773638	null	null	null	null
246	25737	5	2	0	4216825	Characters who want to childishly taunt someone may pull an akanbe face ( by pulling an eyelid down with a finger to expose the red underside ) .	null	null	null	null	UNANN	6773639	null	null	null	null
246	25737	6	2	0	4216826	He suggests that two people , each wishing to do away with someone , should each perform the other 's murder .	null	null	null	null	UNANN	6773640	null	null	null	null
246	25737	7	2	0	4216827	In the popular sense , an agnostic is someone who neither believes nor disbelieves in the existence of a deity or deities , whereas a theist and an atheist believe and disbelieve , respectively .	null	null	null	null	UNANN	6773641	null	null	null	null
246	25737	8	2	0	4216828	In contrast , the philosopher William L. Rowe said that in the popular sense , an agnostic is someone who neither believes nor disbelieves in the existence of a deity or deities , whereas a theist and an atheist believe and disbelieve , respectively , and that in the strict sense agnosticism is the view that human reason is incapable of rationally justifying the belief that deities do , or do not , exist .	null	null	null	null	UNANN	6773642	null	null	null	null
246	25737	9	2	0	4216829	Technically , someone owns their work from the time it 's created .	null	null	null	null	UNANN	6773643	null	null	null	null
246	25737	10	2	0	4216830	The words and language of a text itself determine and expose meaning for Barthes , and not someone possessing legal responsibility for the process of its production .	null	null	null	null	UNANN	6773644	null	null	null	null
246	25737	1	3	0	4216831	When someone does develop chronic or severe problems with anxiety , such problems are usually classified as being one or more of the specific types of Anxiety Disorders .	null	null	null	null	UNANN	6773645	null	null	null	null
246	25737	2	3	0	4216832	For someone who suffers anxiety this can lead to a panic attack .	null	null	null	null	UNANN	6773646	null	null	null	null
246	25737	3	3	0	4216833	This is sometimes seen when a patient is asked to reach out and touch someone 's finger or touch his or her own nose .	null	null	null	null	UNANN	6773647	null	null	null	null
246	25737	4	3	0	4216834	For Tarrou , plague is the destructive impulse within every person , the will and the capacity to do harm , and it is everyone 's duty to be on guard against this tendency within themselves , lest they infect someone else with it .	null	null	null	null	UNANN	6773648	null	null	null	null
246	25737	5	3	0	4216835	It is the sacrifice related to the second best choice available to someone , or group , who has picked among several mutually exclusive choices .	null	null	null	null	UNANN	6773649	null	null	null	null
246	25737	6	3	0	4216836	Actress Mayer El Beblawi said that `` Allah did not curse the worm and moth as much as he cursed the Jews while actor Mahmoud Abdel Ghaffar launched into a violent rage and said , `` You brought me someone who looks like a Jew ... As he started making the actual sculpture he was shocked to discover he actually wanted to finish , even though he knew he would have to marry someone when he finished .	null	null	null	null	UNANN	6773650	null	null	null	null
246	25737	7	3	0	4216837	By the River Styx , he sees the souls of those not given a proper burial , forced to wait by the river until someone buries them .	null	null	null	null	UNANN	6773651	null	null	null	null
246	25737	8	3	0	4216838	As someone in constant contact with ( this watered-down version of ) nature , the farmer was positioned to experience moments that transcend the mundane material world .	null	null	null	null	UNANN	6773652	null	null	null	null
246	25737	9	3	0	4216839	A scientist who works in the field of '''acoustics ''' is an acoustician while someone working in the field of acoustics technology may be called an acoustical engineer .	null	null	null	null	UNANN	6773653	null	null	null	null
246	25737	1	4	0	4216840	When the Englishmen , led by a satiric figure based on Winston Churchill , try to seize power , the utopians simply point a ray gun at them and send them on to someone else 's universe .	null	null	null	null	UNANN	6773654	null	null	null	null
246	25737	2	4	0	4216841	An artist was someone able to do a work better than others , so the skilled excellency was underlined , rather than the activity field .	null	null	null	null	UNANN	6773655	null	null	null	null
246	25737	3	4	0	4216842	In the Church of England the position of archdeacon can only be held by someone in priestly orders who has been ordained for at least six years .	null	null	null	null	UNANN	6773656	null	null	null	null
246	25737	4	4	0	4216843	Media releases from the Pope and Holy See frequently use 'America ' to refer to the United States , and 'American'to denote something or someone from the United States .	null	null	null	null	UNANN	6773657	null	null	null	null
246	25737	5	4	0	4216844	''	null	null	null	null	UNANN	6773658	null	null	null	null
246	25737	6	4	0	4216845	However , in October 2000 at the end of the AES selection process , Bruce Schneier , a developer of the competing algorithm Twofish , wrote that while he thought successful academic attacks on Rijndael would be developed someday , `` I do not believe that anyone will ever discover an attack that will allow someone to read Rijndael traffic .	null	null	null	null	UNANN	6773659	null	null	null	null
246	25737	7	4	0	4216846	If someone was to succeed his unofficial position of power , they were going to have to earn it through their own publicly proven merits .	null	null	null	null	UNANN	6773660	null	null	null	null
246	25737	8	4	0	4216847	30.5% of all households were made up of individuals and 6.2% had someone living alone who was 65 years of age or older .	null	null	null	null	UNANN	6773661	null	null	null	null
