corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
185	23581	1	1	0	4099077	ID:Cycorp-001 .	null	null	null	null	UNANN	6531818	null	null	null	null
185	23581	2	1	0	4099096	Sandy owns a Golden Retriever , Harley , with whom she has won a Dog World Award .	null	null	null	null	UNANN	6531837	null	null	null	null
185	23581	2	1	0	4099096	Sandy owns a Golden Retriever , Harley , with whom she has won a Dog World Award .	2358	own.v	118	Possession	MANUAL	6533293	6	9	MiL	owns
185	23581	3	1	0	4099097	QN : Is Harley a herding dog ?	null	null	null	null	UNANN	6531838	null	null	null	null
185	23581	1	2	0	4099098	ID:Cycorp-002 .	null	null	null	null	UNANN	6531839	null	null	null	null
185	23581	2	2	0	4099099	Many cellphones have built-in digital cameras .	null	null	null	null	UNANN	6531840	null	null	null	null
185	23581	3	2	0	4099100	QN : Can some cellphones be used to take pictures ?	null	null	null	null	UNANN	6531841	null	null	null	null
185	23581	3	2	0	4099100	QN : Can some cellphones be used to take pictures ?	10156	can.v	990	Capability	MANUAL	6533296	5	7	MiL	Can
185	23581	1	3	0	4099101	ID:Cycorp-003 .	null	null	null	null	UNANN	6531842	null	null	null	null
185	23581	2	3	0	4099102	One in four cellphones sold has a camera in it .	null	null	null	null	UNANN	6531843	null	null	null	null
185	23581	2	3	0	4099102	One in four cellphones sold has a camera in it .	2986	sell.v	172	Commerce_sell	MANUAL	6533297	23	26	MiL	sold
185	23581	3	3	0	4099103	QN : Do most cell phones have a lens ?	null	null	null	null	UNANN	6531844	null	null	null	null
185	23581	1	4	0	4099104	ID:Cycorp-004 .	null	null	null	null	UNANN	6531845	null	null	null	null
185	23581	2	4	0	4099105	Three in four cellphones sold has a camera in it .	null	null	null	null	UNANN	6531846	null	null	null	null
185	23581	3	4	0	4099106	QN : Do most cell phones have a lens .	null	null	null	null	UNANN	6531847	null	null	null	null
185	23581	1	5	0	4099107	ID:Cycorp-005 .	null	null	null	null	UNANN	6531848	null	null	null	null
185	23581	2	5	0	4099108	Mr . Radley ordered a 16 ounce slab of slowly roasted Black Angus Prime Rib .	null	null	null	null	UNANN	6531849	null	null	null	null
185	23581	3	5	0	4099109	QN : Is Radley a vegetarian ?	null	null	null	null	UNANN	6531850	null	null	null	null
185	23581	1	6	0	4099110	ID:Cycorp-006 .	null	null	null	null	UNANN	6531851	null	null	null	null
185	23581	2	6	0	4099111	Sue ran down to McDonald's and got a hamburger happy meal with a large Diet Coke .	null	null	null	null	UNANN	6531852	null	null	null	null
185	23581	2	6	0	4099111	Sue ran down to McDonald's and got a hamburger happy meal with a large Diet Coke .	4343	get.v	179	Getting	MANUAL	6533226	31	33	MJE	got
185	23581	3	6	0	4099112	QN : Did Sue get a cup ?	null	null	null	null	UNANN	6531853	null	null	null	null
185	23581	3	6	0	4099112	QN : Did Sue get a cup ?	4343	get.v	179	Getting	MANUAL	6533198	13	15	MJE	get
185	23581	1	7	0	4099113	ID:Cycorp-007 .	null	null	null	null	UNANN	6531854	null	null	null	null
185	23581	2	7	0	4099114	Angela Drake will be moving to California with her husband , where she has accepted a full-time position with the San Diego Public Library .	null	null	null	null	UNANN	6531855	null	null	null	null
185	23581	2	7	0	4099114	Angela Drake will be moving to California with her husband , where she has accepted a full-time position with the San Diego Public Library .	2025	husband.n	102	Personal_relationship	MANUAL	6533312	51	57	RLG	husband
185	23581	2	7	0	4099114	Angela Drake will be moving to California with her husband , where she has accepted a full-time position with the San Diego Public Library .	7538	accept.v	411	Receiving	MANUAL	6533313	75	82	RLG	accepted
185	23581	3	7	0	4099115	QN : Does Angela Drake live in Los Angeles ?	null	null	null	null	UNANN	6531856	null	null	null	null
