corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
205	23733	1	1	0	4102337	Paula_Zahn : Questions about the facts or what were presented as facts that led the United States into the war in Iraq spilled into open warfare today on the Senate floor .	null	null	null	null	UNANN	6546119	null	null	null	null
205	23733	1	1	0	4102337	Paula_Zahn : Questions about the facts or what were presented as facts that led the United States into the war in Iraq spilled into open warfare today on the Senate floor .	1939	war.n	93	Hostile_encounter	MANUAL	6547981	107	109	RLG	war
205	23733	1	1	0	4102337	Paula_Zahn : Questions about the facts or what were presented as facts that led the United States into the war in Iraq spilled into open warfare today on the Senate floor .	6155	spill.v	345	Fluidic_motion	MANUAL	6547982	119	125	RLG	spilled
205	23733	1	1	0	4102337	Paula_Zahn : Questions about the facts or what were presented as facts that led the United States into the war in Iraq spilled into open warfare today on the Senate floor .	11600	warfare.n	93	Hostile_encounter	MANUAL	6547983	137	143	RLG	warfare
205	23733	1	1	0	4102337	Paula_Zahn : Questions about the facts or what were presented as facts that led the United States into the war in Iraq spilled into open warfare today on the Senate floor .	14201	today.n	1895	Temporal_collocation	MANUAL	6547984	145	149	RLG	today
205	23733	1	1	0	4102337	Paula_Zahn : Questions about the facts or what were presented as facts that led the United States into the war in Iraq spilled into open warfare today on the Senate floor .	634	question.n	40	Questioning	MANUAL	6547989	13	21	KmG	Questions
205	23733	1	1	0	4102337	Paula_Zahn : Questions about the facts or what were presented as facts that led the United States into the war in Iraq spilled into open warfare today on the Senate floor .	973	lead.v	56	Cotheme	MANUAL	6547990	76	78	KmG	led
205	23733	1	1	0	4102337	Paula_Zahn : Questions about the facts or what were presented as facts that led the United States into the war in Iraq spilled into open warfare today on the Senate floor .	10801	in.prep	1178	Interior_profile_relation	MANUAL	6547991	111	112	KmG	in
205	23733	1	1	0	4102337	Paula_Zahn : Questions about the facts or what were presented as facts that led the United States into the war in Iraq spilled into open warfare today on the Senate floor .	17780	on.prep	2890	Spatial_contact	MANUAL	6547993	151	152	KmG	on
205	23733	1	1	0	4102337	Paula_Zahn : Questions about the facts or what were presented as facts that led the United States into the war in Iraq spilled into open warfare today on the Senate floor .	10065	floor.n	971	Architectural_part	MANUAL	6547994	165	169	KmG	floor
205	23733	2	1	0	4102403	Democrats forced the Senate into a rare closed door session .	null	null	null	null	UNANN	6546185	null	null	null	null
205	23733	2	1	0	4102403	Democrats forced the Senate into a rare closed door session .	12057	force.v	55	Cause_motion	MANUAL	6547995	10	15	KmG	forced
205	23733	2	1	0	4102403	Democrats forced the Senate into a rare closed door session .	4546	close.v	254	Closure	MANUAL	6547997	40	45	KmG	closed
205	23733	2	1	0	4102403	Democrats forced the Senate into a rare closed door session .	10268	door.n	1025	Connecting_architecture	MANUAL	6547998	47	50	KmG	door
