corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
135	23683	1	1	0	4100864	Friday, February 2, 2007	null	null	null	null	UNANN	6540321	null	null	null	null
135	23683	1	2	0	4100865	Work Advances at Iranian Uranium Enrichment Site	null	null	null	null	UNANN	6540322	null	null	null	null
135	23683	1	2	0	4100865	Work Advances at Iranian Uranium Enrichment Site	14001	work.n	1892	Work	MANUAL	6542766	0	3	RLG	Work
135	23683	1	2	0	4100865	Work Advances at Iranian Uranium Enrichment Site	10646	enrichment.n	620	Processing_materials	MANUAL	6542769	33	42	RLG	Enrichment
135	23683	1	2	0	4100865	Work Advances at Iranian Uranium Enrichment Site	11550	site.n	196	Locale_by_use	MANUAL	6542770	44	47	RLG	Site
135	23683	1	2	0	4100865	Work Advances at Iranian Uranium Enrichment Site	11644	advance.v	1340	Progression	MANUAL	6543165	5	12	KmG	Advances
135	23683	1	2	0	4100865	Work Advances at Iranian Uranium Enrichment Site	6735	at.prep	199	Locative_relation	MANUAL	6543403	14	15	KmG	at
135	23683	1	3	0	4100866	Iran has begun preliminary work to install thousands of centrifuges at its uranium enrichment facility as a dispute roiled over whether the International Atomic Energy Agency was receiving the access it wants to monitor the site , wire services reported today ( see GSN , Feb. 1 ) .	null	null	null	null	UNANN	6540323	null	null	null	null
135	23683	1	3	0	4100866	Iran has begun preliminary work to install thousands of centrifuges at its uranium enrichment facility as a dispute roiled over whether the International Atomic Energy Agency was receiving the access it wants to monitor the site , wire services reported today ( see GSN , Feb. 1 ) .	4448	begin.v	146	Activity_start	MANUAL	6540341	9	13	KmG	begun
135	23683	1	3	0	4100866	Iran has begun preliminary work to install thousands of centrifuges at its uranium enrichment facility as a dispute roiled over whether the International Atomic Energy Agency was receiving the access it wants to monitor the site , wire services reported today ( see GSN , Feb. 1 ) .	12372	install.v	1541	Installing	MANUAL	6540342	35	41	KmG	install
135	23683	1	3	0	4100866	Iran has begun preliminary work to install thousands of centrifuges at its uranium enrichment facility as a dispute roiled over whether the International Atomic Energy Agency was receiving the access it wants to monitor the site , wire services reported today ( see GSN , Feb. 1 ) .	3328	thousands.n	189	Quantified_mass	MANUAL	6540343	43	51	KmG	thousands
135	23683	1	3	0	4100866	Iran has begun preliminary work to install thousands of centrifuges at its uranium enrichment facility as a dispute roiled over whether the International Atomic Energy Agency was receiving the access it wants to monitor the site , wire services reported today ( see GSN , Feb. 1 ) .	6735	at.prep	199	Locative_relation	MANUAL	6540344	68	69	KmG	at
135	23683	1	3	0	4100866	Iran has begun preliminary work to install thousands of centrifuges at its uranium enrichment facility as a dispute roiled over whether the International Atomic Energy Agency was receiving the access it wants to monitor the site , wire services reported today ( see GSN , Feb. 1 ) .	12169	uranium.n	1321	Substance	MANUAL	6540345	75	81	KmG	uranium
135	23683	1	3	0	4100866	Iran has begun preliminary work to install thousands of centrifuges at its uranium enrichment facility as a dispute roiled over whether the International Atomic Energy Agency was receiving the access it wants to monitor the site , wire services reported today ( see GSN , Feb. 1 ) .	10646	enrichment.n	620	Processing_materials	MANUAL	6540346	83	92	KmG	enrichment
135	23683	1	3	0	4100866	Iran has begun preliminary work to install thousands of centrifuges at its uranium enrichment facility as a dispute roiled over whether the International Atomic Energy Agency was receiving the access it wants to monitor the site , wire services reported today ( see GSN , Feb. 1 ) .	10662	facility.n	196	Locale_by_use	MANUAL	6540347	94	101	KmG	facility
135	23683	1	3	0	4100866	Iran has begun preliminary work to install thousands of centrifuges at its uranium enrichment facility as a dispute roiled over whether the International Atomic Energy Agency was receiving the access it wants to monitor the site , wire services reported today ( see GSN , Feb. 1 ) .	13228	as.adv	81	Relative_time	MANUAL	6540348	103	104	KmG	as
135	23683	1	3	0	4100866	Iran has begun preliminary work to install thousands of centrifuges at its uranium enrichment facility as a dispute roiled over whether the International Atomic Energy Agency was receiving the access it wants to monitor the site , wire services reported today ( see GSN , Feb. 1 ) .	8930	dispute.n	710	Quarreling	MANUAL	6540349	108	114	KmG	dispute
135	23683	1	3	0	4100866	Iran has begun preliminary work to install thousands of centrifuges at its uranium enrichment facility as a dispute roiled over whether the International Atomic Energy Agency was receiving the access it wants to monitor the site , wire services reported today ( see GSN , Feb. 1 ) .	7537	receive.v	411	Receiving	MANUAL	6540350	179	187	KmG	receiving
135	23683	1	3	0	4100866	Iran has begun preliminary work to install thousands of centrifuges at its uranium enrichment facility as a dispute roiled over whether the International Atomic Energy Agency was receiving the access it wants to monitor the site , wire services reported today ( see GSN , Feb. 1 ) .	6412	want.v	366	Desiring	MANUAL	6540351	203	207	KmG	wants
135	23683	1	3	0	4100866	Iran has begun preliminary work to install thousands of centrifuges at its uranium enrichment facility as a dispute roiled over whether the International Atomic Energy Agency was receiving the access it wants to monitor the site , wire services reported today ( see GSN , Feb. 1 ) .	11592	monitor.v	31	Scrutiny	MANUAL	6540352	212	218	KmG	monitor
135	23683	1	3	0	4100866	Iran has begun preliminary work to install thousands of centrifuges at its uranium enrichment facility as a dispute roiled over whether the International Atomic Energy Agency was receiving the access it wants to monitor the site , wire services reported today ( see GSN , Feb. 1 ) .	11550	site.n	196	Locale_by_use	MANUAL	6540353	224	227	KmG	site
135	23683	1	3	0	4100866	Iran has begun preliminary work to install thousands of centrifuges at its uranium enrichment facility as a dispute roiled over whether the International Atomic Energy Agency was receiving the access it wants to monitor the site , wire services reported today ( see GSN , Feb. 1 ) .	748	report.v	43	Statement	MANUAL	6540354	245	252	KmG	reported
135	23683	1	3	0	4100866	Iran has begun preliminary work to install thousands of centrifuges at its uranium enrichment facility as a dispute roiled over whether the International Atomic Energy Agency was receiving the access it wants to monitor the site , wire services reported today ( see GSN , Feb. 1 ) .	4054	today.n	229	Calendric_unit	MANUAL	6540355	254	258	KmG	today
