corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
185	23573	1	1	0	4098057	ID: Brandeis - 01.1 .	null	null	null	null	UNANN	6530798	null	null	null	null
185	23573	2	1	0	4098058	StatesWest Airlines withdrew its offer to acquire Mesa Airlines .	null	null	null	null	UNANN	6530799	null	null	null	null
185	23573	2	1	0	4098058	StatesWest Airlines withdrew its offer to acquire Mesa Airlines .	12297	withdraw.v	1518	Withdraw_from_participation	UNANN	6532947	null	null	null	null
185	23573	2	1	0	4098058	StatesWest Airlines withdrew its offer to acquire Mesa Airlines .	12297	withdraw.v	1518	Withdraw_from_participation	UNANN	6532947	20	27	CFB	withdrew
185	23573	3	1	0	4098059	QN : Was an offer made to acquire Mesa Airline ?	null	null	null	null	UNANN	6530800	null	null	null	null
185	23573	1	2	0	4098060	ID: Brandeis - 01.2 .	null	null	null	null	UNANN	6530801	null	null	null	null
185	23573	2	2	0	4098061	StatesWest Airlines withdrew its offer to acquire Mesa Airlines .	null	null	null	null	UNANN	6530802	null	null	null	null
185	23573	2	2	0	4098061	StatesWest Airlines withdrew its offer to acquire Mesa Airlines .	12297	withdraw.v	1518	Withdraw_from_participation	UNANN	6533445	null	null	null	null
185	23573	2	2	0	4098061	StatesWest Airlines withdrew its offer to acquire Mesa Airlines .	12297	withdraw.v	1518	Withdraw_from_participation	UNANN	6533445	20	27	Hay	withdrew
185	23573	3	2	0	4098062	QN : Did StatesWest ever plan to acquire Mesa Airlines ?	null	null	null	null	UNANN	6530803	null	null	null	null
185	23573	1	3	0	4098063	ID: Brandeis - 01.3 .	null	null	null	null	UNANN	6530804	null	null	null	null
185	23573	2	3	0	4098064	StatesWest Airlines withdrew its offer to acquire Mesa Airlines .	null	null	null	null	UNANN	6530805	null	null	null	null
185	23573	2	3	0	4098064	StatesWest Airlines withdrew its offer to acquire Mesa Airlines .	12297	withdraw.v	1518	Withdraw_from_participation	UNANN	6533446	null	null	null	null
185	23573	2	3	0	4098064	StatesWest Airlines withdrew its offer to acquire Mesa Airlines .	12297	withdraw.v	1518	Withdraw_from_participation	UNANN	6533446	20	27	Hay	withdrew
185	23573	3	3	0	4098065	QN : Did StatesWest acquire Mesa Airlines ?	null	null	null	null	UNANN	6530806	null	null	null	null
185	23573	1	4	0	4098066	ID: Brandeis -02 .	null	null	null	null	UNANN	6530807	null	null	null	null
185	23573	2	4	0	4098067	Steynar Gil welcomed the release of prisoners imprisoned during the October 15 -16 riots .	null	null	null	null	UNANN	6530808	null	null	null	null
185	23573	3	4	0	4098068	QN : Have prisoners imprisoned during October 15 -16 riots been released ?	null	null	null	null	UNANN	6530809	null	null	null	null
185	23573	1	5	0	4098069	ID: Brandeis -03 .	null	null	null	null	UNANN	6530810	null	null	null	null
185	23573	2	5	0	4098070	Program trading is hurting the market 's efforts to bring back small investors .	null	null	null	null	UNANN	6530811	null	null	null	null
185	23573	2	5	0	4098070	Program trading is hurting the market 's efforts to bring back small investors .	10187	effort.n	116	Attempt	MANUAL	6533248	41	47	MJE	efforts
185	23573	3	5	0	4098071	QN : Are there any efforts to bring back small investors ?	null	null	null	null	UNANN	6530812	null	null	null	null
185	23573	3	5	0	4098071	QN : Are there any efforts to bring back small investors ?	10187	effort.n	116	Attempt	MANUAL	6533249	19	25	MJE	efforts
185	23573	3	5	0	4098071	QN : Are there any efforts to bring back small investors ?	9920	bring.v	240	Bringing	MANUAL	6544185	30	34	MJE	bring
185	23573	1	6	0	4098072	ID: Brandeis -04 .	null	null	null	null	UNANN	6530813	null	null	null	null
185	23573	2	6	0	4098073	Thirty-two of the 159 U.N. members were honoring the sanctions against Iraq .	null	null	null	null	UNANN	6530814	null	null	null	null
185	23573	2	6	0	4098073	Thirty-two of the 159 U.N. members were honoring the sanctions against Iraq .	10279	member.n	1026	Membership	MANUAL	6532298	27	33	RLG	members
185	23573	2	6	0	4098073	Thirty-two of the 159 U.N. members were honoring the sanctions against Iraq .	12694	honor.v	117	Compliance	MANUAL	6532299	40	47	RLG	honoring
185	23573	2	6	0	4098073	Thirty-two of the 159 U.N. members were honoring the sanctions against Iraq .	10676	sanction.n	347	Revenge	MANUAL	6532301	53	61	RLG	sanctions
185	23573	3	6	0	4098074	QN : Were there sanctions against Iraq ?	null	null	null	null	UNANN	6530815	null	null	null	null
185	23573	3	6	0	4098074	QN : Were there sanctions against Iraq ?	10329	there	660	Existence	MANUAL	6532303	10	14	RLG	there
185	23573	3	6	0	4098074	QN : Were there sanctions against Iraq ?	10329	there	660	Existence	MANUAL	6532303	5	8	RLG	Were
185	23573	3	6	0	4098074	QN : Were there sanctions against Iraq ?	10676	sanction.n	347	Revenge	MANUAL	6532304	16	24	RLG	sanctions
185	23573	1	7	0	4098075	ID: Brandeis - 05.1 .	null	null	null	null	UNANN	6530816	null	null	null	null
185	23573	2	7	0	4098076	Herbicide use in some areas of the U.S. was delayed earlier in the year by heavy rains .	null	null	null	null	UNANN	6530817	null	null	null	null
185	23573	3	7	0	4098077	QN : Were herbicides delayed in all areas of the U.S. this year ?	null	null	null	null	UNANN	6530818	null	null	null	null
185	23573	1	8	0	4098078	ID: Brandeis - 05.2 .	null	null	null	null	UNANN	6530819	null	null	null	null
185	23573	2	8	0	4098079	Herbicide use in some areas of the U.S. was prevented this year because of heavy rains .	null	null	null	null	UNANN	6530820	null	null	null	null
185	23573	3	8	0	4098080	QN : Were herbicides used this year in the U.S. ?	null	null	null	null	UNANN	6530821	null	null	null	null
185	23573	1	9	0	4098081	ID: Brandeis -06 .	null	null	null	null	UNANN	6530822	null	null	null	null
185	23573	2	9	0	4098082	The US is bolstering its military presence in the Gulf .	null	null	null	null	UNANN	6530823	null	null	null	null
185	23573	2	9	0	4098082	The US is bolstering its military presence in the Gulf .	12390	military.a	1514	Military	MANUAL	6532310	25	32	RLG	military
185	23573	3	9	0	4098083	QN : Does the US have a military presence in the Gulf .	null	null	null	null	UNANN	6530824	null	null	null	null
185	23573	3	9	0	4098083	QN : Does the US have a military presence in the Gulf .	12390	military.a	1514	Military	MANUAL	6532312	24	31	RLG	military
185	23573	1	10	0	4098084	ID: Brandeis -07 .	null	null	null	null	UNANN	6530825	null	null	null	null
185	23573	2	10	0	4098085	The unemployed took to the streets of the German capital , Berlin , mirroring protests around the country .	null	null	null	null	UNANN	6530826	null	null	null	null
185	23573	3	10	0	4098086	QN : Were the protests only in Berlin ?	null	null	null	null	UNANN	6530827	null	null	null	null
185	23573	1	11	0	4098087	ID: Brandeis - 08.1 .	null	null	null	null	UNANN	6530828	null	null	null	null
185	23573	2	11	0	4098088	The court nullified a standstill agreement between DPC Acquisition and Dataproducts .	null	null	null	null	UNANN	6530829	null	null	null	null
185	23573	2	11	0	4098088	The court nullified a standstill agreement between DPC Acquisition and Dataproducts .	12625	court.n	1607	Judicial_body	MANUAL	6533327	4	8	MiL	court
185	23573	3	11	0	4098089	QN : Was there any agreement between DPC Acquisition and Dataproducts ?	null	null	null	null	UNANN	6530830	null	null	null	null
185	23573	1	12	0	4098090	ID: Brandeis - 08.2 .	null	null	null	null	UNANN	6530831	null	null	null	null
185	23573	2	12	0	4098091	The court nullified a standstill agreement between DPC Acquisition and Dataproducts .	null	null	null	null	UNANN	6530832	null	null	null	null
185	23573	2	12	0	4098091	The court nullified a standstill agreement between DPC Acquisition and Dataproducts .	12625	court.n	1607	Judicial_body	MANUAL	6533447	4	8	Hay	court
185	23573	3	12	0	4098092	QN : Are there any agreements between DCP Acquisition and Dataproducts ?	null	null	null	null	UNANN	6530833	null	null	null	null
185	23573	1	13	0	4098093	ID: Brandeis - 09.1 .	null	null	null	null	UNANN	6530834	null	null	null	null
185	23573	2	13	0	4098094	Sardar Patel faced imprisonment for the first time when he was assisting Gandhiji in the Salt Satyagraha .	null	null	null	null	UNANN	6530835	null	null	null	null
185	23573	2	13	0	4098094	Sardar Patel faced imprisonment for the first time when he was assisting Gandhiji in the Salt Satyagraha .	7040	assist.v	391	Assistance	MANUAL	6533227	63	71	MJE	assisting
185	23573	3	13	0	4098095	QN : Was Sardar Patel ever in prison ?	null	null	null	null	UNANN	6530836	null	null	null	null
185	23573	1	14	0	4098096	ID: Brandeis - 09.2 .	null	null	null	null	UNANN	6530837	null	null	null	null
185	23573	2	14	0	4098097	Sardar Patel faced imprisonment for the first time when he was assisting Gandhiji in the Salt Satyagraha .	null	null	null	null	UNANN	6530838	null	null	null	null
185	23573	2	14	0	4098097	Sardar Patel faced imprisonment for the first time when he was assisting Gandhiji in the Salt Satyagraha .	7040	assist.v	391	Assistance	MANUAL	6533448	63	71	Hay	assisting
185	23573	3	14	0	4098098	QN : Was Sardar Patel ever convicted of a crime ?	null	null	null	null	UNANN	6530839	null	null	null	null
185	23573	1	15	0	4098099	ID: Brandeis - 10.1 .	null	null	null	null	UNANN	6530840	null	null	null	null
185	23573	2	15	0	4098100	Darryl Strawberry recently avoided imprisonment when a judge sentenced him to a drug treatment center for violating his probation .	null	null	null	null	UNANN	6530841	null	null	null	null
185	23573	3	15	0	4098101	QN : Was Darryl Strawberry ever in prison ?	null	null	null	null	UNANN	6530842	null	null	null	null
185	23573	1	16	0	4098102	ID: Brandeis - 10.2 .	null	null	null	null	UNANN	6530843	null	null	null	null
185	23573	2	16	0	4098103	Darryl Strawberry recently avoided imprisonment when a judge sentenced him to a drug treatment center for violating his probation .	null	null	null	null	UNANN	6530844	null	null	null	null
185	23573	3	16	0	4098104	QN : Was Darryl imprisoned for violating his probation ?	null	null	null	null	UNANN	6530845	null	null	null	null
185	23573	1	17	0	4098105	ID: Brandeis -11 .	null	null	null	null	UNANN	6530846	null	null	null	null
185	23573	2	17	0	4098106	Three patients declined further surgery .	null	null	null	null	UNANN	6530847	null	null	null	null
185	23573	2	17	0	4098106	Three patients declined further surgery .	12759	decline.v	1625	Agree_or_refuse_to_act	MANUAL	6533219	15	22	MJE	declined
185	23573	3	17	0	4098107	QN : Did the patients have any surgeries ?	null	null	null	null	UNANN	6530848	null	null	null	null
185	23573	1	18	0	4098108	ID: Brandeis -12 .	null	null	null	null	UNANN	6530849	null	null	null	null
185	23573	2	18	0	4098109	Foodstuffs are being blocked from entry into Iraq .	null	null	null	null	UNANN	6530850	null	null	null	null
185	23573	3	18	0	4098110	QN : Are foodstuffs getting into Iraq ?	null	null	null	null	UNANN	6530851	null	null	null	null
185	23573	3	18	0	4098110	QN : Are foodstuffs getting into Iraq ?	4885	get.v	54	Arriving	MANUAL	6532317	20	26	RLG	getting
185	23573	1	19	0	4098111	ID: Brandeis -13 .	null	null	null	null	UNANN	6530852	null	null	null	null
185	23573	2	19	0	4098112	The new space allowed Compaq to increase the manufacturing capacity of its plant in Erskine , Scotland .	null	null	null	null	UNANN	6530853	null	null	null	null
185	23573	3	19	0	4098113	QN : Did Compaq increase its manufacturing capacity in the Erskine plant ?	null	null	null	null	UNANN	6530854	null	null	null	null
185	23573	1	20	0	4098114	ID: Brandeis -14 .	null	null	null	null	UNANN	6530855	null	null	null	null
185	23573	2	20	0	4098115	Holders of more than a majority of the stock of the company have approved the transaction by written consent .	null	null	null	null	UNANN	6530856	null	null	null	null
185	23573	3	20	0	4098116	QN : Has the transaction taken place ?	null	null	null	null	UNANN	6530857	null	null	null	null
185	23573	3	20	0	4098116	QN : Has the transaction taken place ?	4888	take	187	Event	MANUAL	6533200	25	29	EGp	taken
185	23573	3	20	0	4098116	QN : Has the transaction taken place ?	4888	take	187	Event	MANUAL	6533200	31	35	EGp	place
185	23573	3	20	0	4098116	QN : Has the transaction taken place ?	11459	transaction.n	177	Commercial_transaction	MANUAL	6533212	13	23	MJE	transaction
185	23573	1	21	0	4098117	ID: Brandeis -15 .	null	null	null	null	UNANN	6530858	null	null	null	null
185	23573	2	21	0	4098118	The transaction has been approved by Kyle 's board but requires the approval of the company 's shareholders .	null	null	null	null	UNANN	6530859	null	null	null	null
185	23573	3	21	0	4098119	QN : Has the transaction taken place ?	null	null	null	null	UNANN	6530860	null	null	null	null
185	23573	3	21	0	4098119	QN : Has the transaction taken place ?	4888	take	187	Event	MANUAL	6533449	25	29	EGp	taken
