corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
246	25733	1	1	0	4216444	Warhol 's collections included airplane menus , unpaid invoices , pizza dough , pornographic pulp novels , newspapers , stamps , supermarket flyers , and cookie jars , among other eccentricities .	null	null	null	null	UNANN	6773225	null	null	null	null
246	25733	1	1	0	4216444	Warhol 's collections included airplane menus , unpaid invoices , pizza dough , pornographic pulp novels , newspapers , stamps , supermarket flyers , and cookie jars , among other eccentricities .	18609	invoice.n	2983	Billing	MANUAL	6773317	55	62	CFB	invoices
246	25733	2	1	0	4216445	The high price was likely due to the rare documents and packaging offered in the sale in addition to the computer , including the original packaging ( with the return label showing Steve Jobs ' parents ' address , the original Apple Computer Inc 'headquarters ' being their garage ) , a personally typed and signed letter from Jobs ( answering technical questions about the computer ) , and the original invoice showing 'Steven ' as the salesman .	null	null	null	null	UNANN	6773226	null	null	null	null
246	25733	3	1	0	4216446	As a joke following Apollo 13 's successful splashdown , Grumman Aerospace Corporation pilot Sam Greenberg ( who had helped with the strategy for re-routing power from the LM to the crippled CM ) issued a tongue-in-cheek invoice for $400,540.05 to North American Rockwell , Pratt and Whitney , and Beech Aircraft , prime and subcontractors for the Command/Service Module ( CSM ) , for `` towing '' the crippled ship most of the way to the Moon and back .	null	null	null	null	UNANN	6773227	null	null	null	null
246	25733	4	1	0	4216447	In AmE a bill is usually paper money ( as in `` dollar bill ) though it can mean the same as in BrE , an invoice ( as in `` the repair bill was 250 '' ) .	null	null	null	null	UNANN	6773228	null	null	null	null
246	25733	5	1	0	4216448	In B.C. , the mix of 2-4 -D and 2-4-5-T was called `` Type B Weed and Brush Killer '' in government invoices .	null	null	null	null	UNANN	6773229	null	null	null	null
246	25733	6	1	0	4216449	It was reported on 10 October 2011 , that the BNP is under investigation for fraud regarding the submission of false invoices to the Electoral Commission .	null	null	null	null	UNANN	6773230	null	null	null	null
246	25733	7	1	0	4216450	Sales and purchases usually have invoices or receipts .	null	null	null	null	UNANN	6773231	null	null	null	null
246	25733	8	1	0	4216451	All correspondence , inquiries , invoices , and so on , will be addressed to the solicitor , who is primarily responsible for the barrister 's fees .	null	null	null	null	UNANN	6773232	null	null	null	null
246	25733	9	1	0	4216452	Dot matrix printers are still commonly used in low-cost , low-quality applications like cash registers , or in demanding , very high volume applications like invoice printing .	null	null	null	null	UNANN	6773233	null	null	null	null
246	25733	10	1	0	4216453	The fact that they use an impact printing method allows them to be used to print multi-part documents using carbonless copy paper , like sales invoices and credit card receipts , whereas other printing methods are unusable with paper of this type .	null	null	null	null	UNANN	6773234	null	null	null	null
246	25733	1	2	0	4216454	Nowadays , the ''hum '' system is only used for displaying prices in Chinese markets or on traditional handwritten invoices .	null	null	null	null	UNANN	6773235	null	null	null	null
246	25733	2	2	0	4216455	He wrote daily instructions to his gardener , precise designs and layouts for plantings , and invoices for his floral purchases and his collection of botany books .	null	null	null	null	UNANN	6773236	null	null	null	null
