corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
246	25734	1	1	0	4216534	The 2nd Street District consists of several new residential projects , restaurants , coffee shops , record stores , upscale boutiques and museums , and the Austin City Hall .	null	null	null	null	UNANN	6773318	null	null	null	null
246	25734	1	1	0	4216534	The 2nd Street District consists of several new residential projects , restaurants , coffee shops , record stores , upscale boutiques and museums , and the Austin City Hall .	18660	boutique.n	196	Locale_by_use	MANUAL	6773506	124	132	HPh	boutiques
246	25734	2	1	0	4216535	In 1971 , Alembic established the template for what became known as `` boutique '' or `` high-end '' electric bass guitars .	null	null	null	null	UNANN	6773319	null	null	null	null
246	25734	3	1	0	4216536	In the mid-1970s , Alembic and other boutique bass manufacturers , such as Tobias , produced four-string and five-string basses with a low `` B '' string .	null	null	null	null	UNANN	6773320	null	null	null	null
246	25734	4	1	0	4216537	As well , onboard battery-powered electronics such as preamplifiers and equalizer circuits , which were previously only available on expensive `` boutique '' instruments , became increasingly available on modestly priced basses .	null	null	null	null	UNANN	6773321	null	null	null	null
246	25734	5	1	0	4216538	While neck-through construction is most common in handmade `` boutique '' basses , some models of mass-produced basses such as Ibanez 's BTB series also have neck-through construction .	null	null	null	null	UNANN	6773322	null	null	null	null
246	25734	6	1	0	4216539	Bolt-on neck construction does n't necessarily imply a cheaply made instrument ; virtually all traditional Fender designs still use bolt-on necks for instruments costing thousands of dollars , and many boutique luthiers will build bolt-on basses as well as neck-through .	null	null	null	null	UNANN	6773323	null	null	null	null
246	25734	7	1	0	4216540	While 35 '' , 35.5 '' and 36 '' scale lengths were once only available in `` boutique '' instruments , in the 2000s ( decade ) , many manufacturers began offering these `` extra long '' scale lengths .	null	null	null	null	UNANN	6773324	null	null	null	null
246	25734	8	1	0	4216541	Fretless basses with more than six strings are also available as `` boutique '' or custom-made instruments .	null	null	null	null	UNANN	6773325	null	null	null	null
246	25734	9	1	0	4216542	Elmwood Village is a pedestrian-oriented , mixed use neighborhood with hundreds of small , locally owned boutiques , shops , restaurants , and cafes .	null	null	null	null	UNANN	6773326	null	null	null	null
246	25734	9	1	0	4216542	Elmwood Village is a pedestrian-oriented , mixed use neighborhood with hundreds of small , locally owned boutiques , shops , restaurants , and cafes .	18660	boutique.n	196	Locale_by_use	MANUAL	6773598	105	113	HPh	boutiques
246	25734	10	1	0	4216543	This strip has numerous small boutiques and restaurants , with few large corporate establishments .	null	null	null	null	UNANN	6773327	null	null	null	null
246	25734	1	2	0	4216544	The shops become progressively more upmarket as one moves towards ''Place de la Comdie '' and the nearby ''Cours de l'Intendance '' is where one finds the more exclusive shops and boutiques .	null	null	null	null	UNANN	6773328	null	null	null	null
246	25734	2	2	0	4216545	Rard was a car engineer but by 1946 he was running his mother 's lingerie boutique near Les Folies Bergres in Paris .	null	null	null	null	UNANN	6773329	null	null	null	null
246	25734	2	2	0	4216545	Rard was a car engineer but by 1946 he was running his mother 's lingerie boutique near Les Folies Bergres in Paris .	18661	boutique.n	365	Businesses	MANUAL	6773600	74	81	HPh	boutique
246	25734	3	2	0	4216546	The retail areas contain shops from chain stores up to high-end boutiques .	null	null	null	null	UNANN	6773330	null	null	null	null
246	25734	3	2	0	4216546	The retail areas contain shops from chain stores up to high-end boutiques .	18660	boutique.n	196	Locale_by_use	MANUAL	6773601	64	72	HPh	boutiques
246	25734	4	2	0	4216547	Inman Square is home to many diverse restaurants , bars , music venues and boutiques .	null	null	null	null	UNANN	6773331	null	null	null	null
246	25734	5	2	0	4216548	Its old Victorian brick buildings and main street currently offer several tourist , boutique , and antique shops .	null	null	null	null	UNANN	6773332	null	null	null	null
246	25734	6	2	0	4216549	Croydon town centre is also a major retail centre , and home to many high street and department stores as well as designer boutiques .	null	null	null	null	UNANN	6773333	null	null	null	null
246	25734	7	2	0	4216550	After establishing himself in the U.S. , de la Renta opened boutiques across the country .	null	null	null	null	UNANN	6773334	null	null	null	null
246	25734	8	2	0	4216551	Dr . Dre produced or co-produced four tracks on the album , including the hit single `` In da Club '' , a joint production between Aftermath , Eminem 's boutique label Shady Records and Interscope .	null	null	null	null	UNANN	6773335	null	null	null	null
246	25734	9	2	0	4216552	Since the early 2000s , numerous boutique hotels and bustling cafes opened in the old city which attract plenty of European tourists and Damascenes alike .	null	null	null	null	UNANN	6773336	null	null	null	null
