corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
185	23576	1	1	0	4098551	ID:St001 .	null	null	null	null	UNANN	6531292	null	null	null	null
185	23576	2	1	0	4098552	Abdul Galeel Nazeer Karori , a leading Islamist and member of Sudan 's ruling National Congress party , said in Khartoum , `` We will not allow any arrest or trial of a Sudanese official , unless they will arrest the 30 million Sudanese people and try them . ''	null	null	null	null	UNANN	6531293	null	null	null	null
185	23576	2	1	0	4098552	Abdul Galeel Nazeer Karori , a leading Islamist and member of Sudan 's ruling National Congress party , said in Khartoum , `` We will not allow any arrest or trial of a Sudanese official , unless they will arrest the 30 million Sudanese people and try them . ''	5678	arrest.n	202	Arrest	MANUAL	6533222	148	153	MJE	arrest
185	23576	2	1	0	4098552	Abdul Galeel Nazeer Karori , a leading Islamist and member of Sudan 's ruling National Congress party , said in Khartoum , `` We will not allow any arrest or trial of a Sudanese official , unless they will arrest the 30 million Sudanese people and try them . ''	9131	try.v	320	Try_defendant	MANUAL	6533304	248	250	MJE	try
185	23576	2	1	0	4098552	Abdul Galeel Nazeer Karori , a leading Islamist and member of Sudan 's ruling National Congress party , said in Khartoum , `` We will not allow any arrest or trial of a Sudanese official , unless they will arrest the 30 million Sudanese people and try them . ''	1603	rule.v	73	Leadership	MANUAL	6533400	71	76	RLG	ruling
185	23576	3	1	0	4098553	QN : Is Abdul Galeel Nazeer Karori a member of the Sudanese National Congress Party ?	null	null	null	null	UNANN	6531294	null	null	null	null
185	23576	1	2	0	4098554	ID:St002 .	null	null	null	null	UNANN	6531295	null	null	null	null
185	23576	2	2	0	4098555	Abdul Galeel Nazeer Karori , a leading Islamist and member of Sudan 's ruling National Congress party , said in Khartoum , `` We will not allow any arrest or trial of a Sudanese official , unless they will arrest the 30 million Sudanese people and try them . ''	null	null	null	null	UNANN	6531296	null	null	null	null
185	23576	2	2	0	4098555	Abdul Galeel Nazeer Karori , a leading Islamist and member of Sudan 's ruling National Congress party , said in Khartoum , `` We will not allow any arrest or trial of a Sudanese official , unless they will arrest the 30 million Sudanese people and try them . ''	5678	arrest.n	202	Arrest	MANUAL	6533530	148	153	Hay	arrest
185	23576	2	2	0	4098555	Abdul Galeel Nazeer Karori , a leading Islamist and member of Sudan 's ruling National Congress party , said in Khartoum , `` We will not allow any arrest or trial of a Sudanese official , unless they will arrest the 30 million Sudanese people and try them . ''	9131	try.v	320	Try_defendant	MANUAL	6533531	248	250	Hay	try
185	23576	2	2	0	4098555	Abdul Galeel Nazeer Karori , a leading Islamist and member of Sudan 's ruling National Congress party , said in Khartoum , `` We will not allow any arrest or trial of a Sudanese official , unless they will arrest the 30 million Sudanese people and try them . ''	1603	rule.v	73	Leadership	MANUAL	6533532	71	76	Hay	ruling
185	23576	3	2	0	4098556	QN : Is Abdul Galeel Nazeer Karori the leader of the Sudanese National Congress Party ?	null	null	null	null	UNANN	6531297	null	null	null	null
185	23576	1	3	0	4098557	ID:St003 .	null	null	null	null	UNANN	6531298	null	null	null	null
185	23576	2	3	0	4098558	Puerto Rican legislators who want their island to become a state said Monday they would try to override a veto of a bill they believe will help resolve the territory 's relationship to the United States .	null	null	null	null	UNANN	6531299	null	null	null	null
185	23576	2	3	0	4098558	Puerto Rican legislators who want their island to become a state said Monday they would try to override a veto of a bill they believe will help resolve the territory 's relationship to the United States .	2465	try.v	116	Attempt	MANUAL	6533251	88	90	MJE	try
185	23576	2	3	0	4098558	Puerto Rican legislators who want their island to become a state said Monday they would try to override a veto of a bill they believe will help resolve the territory 's relationship to the United States .	751	say.v	43	Statement	MANUAL	6533252	65	68	MJE	said
185	23576	2	3	0	4098558	Puerto Rican legislators who want their island to become a state said Monday they would try to override a veto of a bill they believe will help resolve the territory 's relationship to the United States .	6412	want.v	366	Desiring	UNANN	6533253	null	null	null	null
185	23576	2	3	0	4098558	Puerto Rican legislators who want their island to become a state said Monday they would try to override a veto of a bill they believe will help resolve the territory 's relationship to the United States .	6412	want.v	366	Desiring	UNANN	6533253	29	32	MJE	want
185	23576	2	3	0	4098558	Puerto Rican legislators who want their island to become a state said Monday they would try to override a veto of a bill they believe will help resolve the territory 's relationship to the United States .	2756	believe.v	141	Certainty	MANUAL	6533340	126	132	MJE	believe
185	23576	3	3	0	4098559	Gov . Anibal Acevedo Vila on Sunday vetoed the bill , which would have asked Washington to honor any eventual decision for the island to become a state , increase its autonomy or become independent .	null	null	null	null	UNANN	6531300	null	null	null	null
185	23576	4	3	0	4098560	QN : Do Puerto Rico lawmakers aim to override the governor 's veto ?	null	null	null	null	UNANN	6531301	null	null	null	null
