corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
175	25743	1	1	0	4217204	Example 4	null	null	null	null	UNANN	6774125	null	null	null	null
175	25743	1	2	0	4217205	JOHANNESBURG - After four days in the hospital battling a lung infection , former President Nelson Mandela of South Africa `` is responding better to treatment , '' President Jacob Zuma told Parliament in Cape Town on Wednesday .	null	null	null	null	UNANN	6774126	null	null	null	null
175	25743	1	2	0	4217205	JOHANNESBURG - After four days in the hospital battling a lung infection , former President Nelson Mandela of South Africa `` is responding better to treatment , '' President Jacob Zuma told Parliament in Cape Town on Wednesday .	3875	day.n	224	Measure_duration	MANUAL	6774145	26	29	CFB	days
175	25743	1	2	0	4217205	JOHANNESBURG - After four days in the hospital battling a lung infection , former President Nelson Mandela of South Africa `` is responding better to treatment , '' President Jacob Zuma told Parliament in Cape Town on Wednesday .	6715	after.prep	379	Time_vector	MANUAL	6774146	15	19	CFB	After
175	25743	1	2	0	4217205	JOHANNESBURG - After four days in the hospital battling a lung infection , former President Nelson Mandela of South Africa `` is responding better to treatment , '' President Jacob Zuma told Parliament in Cape Town on Wednesday .	3013	hospital.n	173	Buildings	MANUAL	6774147	38	45	CFB	hospital
175	25743	1	2	0	4217205	JOHANNESBURG - After four days in the hospital battling a lung infection , former President Nelson Mandela of South Africa `` is responding better to treatment , '' President Jacob Zuma told Parliament in Cape Town on Wednesday .	4386	infection.n	239	Medical_conditions	MANUAL	6774148	63	71	CFB	infection
175	25743	1	2	0	4217205	JOHANNESBURG - After four days in the hospital battling a lung infection , former President Nelson Mandela of South Africa `` is responding better to treatment , '' President Jacob Zuma told Parliament in Cape Town on Wednesday .	1599	president	73	Leadership	MANUAL	6774149	82	90	CFB	President
175	25743	1	2	0	4217205	JOHANNESBURG - After four days in the hospital battling a lung infection , former President Nelson Mandela of South Africa `` is responding better to treatment , '' President Jacob Zuma told Parliament in Cape Town on Wednesday .	11468	respond.v	1302	Response	MANUAL	6774150	129	138	CFB	responding
175	25743	1	2	0	4217205	JOHANNESBURG - After four days in the hospital battling a lung infection , former President Nelson Mandela of South Africa `` is responding better to treatment , '' President Jacob Zuma told Parliament in Cape Town on Wednesday .	15385	tell.v	43	Statement	MANUAL	6774151	186	189	CFB	told
175	25743	1	2	0	4217205	JOHANNESBURG - After four days in the hospital battling a lung infection , former President Nelson Mandela of South Africa `` is responding better to treatment , '' President Jacob Zuma told Parliament in Cape Town on Wednesday .	1599	president	73	Leadership	MANUAL	6774152	165	173	CFB	President
175	25743	1	2	0	4217205	JOHANNESBURG - After four days in the hospital battling a lung infection , former President Nelson Mandela of South Africa `` is responding better to treatment , '' President Jacob Zuma told Parliament in Cape Town on Wednesday .	1931	battle.v	93	Hostile_encounter	MANUAL	6774207	47	54	CFB	battling
175	25743	1	2	0	4217205	JOHANNESBURG - After four days in the hospital battling a lung infection , former President Nelson Mandela of South Africa `` is responding better to treatment , '' President Jacob Zuma told Parliament in Cape Town on Wednesday .	18703	lung.n	119	Body_parts	MANUAL	6774208	58	61	CFB	lung
175	25743	1	2	0	4217205	JOHANNESBURG - After four days in the hospital battling a lung infection , former President Nelson Mandela of South Africa `` is responding better to treatment , '' President Jacob Zuma told Parliament in Cape Town on Wednesday .	18721	well.adv	354	Desirability	MANUAL	6774216	140	145	CFB	better
175	25743	1	3	0	4217206	'' We are very happy with the progress that he 's now making , following a difficult few days , '' Zuma said .	null	null	null	null	UNANN	6774127	null	null	null	null
175	25743	1	3	0	4217206	'' We are very happy with the progress that he 's now making , following a difficult few days , '' Zuma said .	7221	happy.a	46	Emotion_directed	MANUAL	6774153	15	19	CFB	happy
175	25743	1	3	0	4217206	'' We are very happy with the progress that he 's now making , following a difficult few days , '' Zuma said .	16461	following.prep	379	Time_vector	MANUAL	6774155	63	71	CFB	following
175	25743	1	3	0	4217206	'' We are very happy with the progress that he 's now making , following a difficult few days , '' Zuma said .	14083	now.adv	1895	Temporal_collocation	MANUAL	6774156	50	52	CFB	now
175	25743	1	3	0	4217206	'' We are very happy with the progress that he 's now making , following a difficult few days , '' Zuma said .	6567	difficult.a	375	Difficulty	MANUAL	6774302	75	83	CFB	difficult
175	25743	1	3	0	4217206	'' We are very happy with the progress that he 's now making , following a difficult few days , '' Zuma said .	11643	progress.n	1340	Progression	MANUAL	6774303	30	37	CFB	progress
175	25743	1	3	0	4217206	'' We are very happy with the progress that he 's now making , following a difficult few days , '' Zuma said .	751	say.v	43	Statement	MANUAL	6774306	104	107	CFB	said
