corpID	docID	sentNo	paragNo	aPos	ID	text	luID	luName	frameID	frameName	status	aID	start	end	cBy	target
175	7	1	1	0	312901	It was a bright cold day in April , and the clocks were striking thirteen .	null	null	null	null	UNANN	269177	null	null	null	null
175	7	1	1	0	312901	It was a bright cold day in April , and the clocks were striking thirteen .	10370	cold.a	1052	Ambient_temperature	MANUAL	1992373	16	19	MJE	cold
175	7	1	1	0	312901	It was a bright cold day in April , and the clocks were striking thirteen .	3946	day.n	229	Calendric_unit	MANUAL	2333662	21	23	MJE	day
175	7	1	1	0	312901	It was a bright cold day in April , and the clocks were striking thirteen .	4646	April.n	229	Calendric_unit	MANUAL	2333663	28	32	MJE	April
175	7	1	1	0	312901	It was a bright cold day in April , and the clocks were striking thirteen .	3279	bright.a	105	Location_of_light	MANUAL	2508839	9	14	MJE	bright
175	7	2	1	0	312902	Winston Smith , his chin nuzzled into his breast in an effort to escape the vile wind , slipped quickly through the glass doors of Victory Mansions , though not quickly enough to prevent a swirl of gritty dust from entering along with him .	null	null	null	null	UNANN	269178	null	null	null	null
175	7	2	1	0	312902	Winston Smith , his chin nuzzled into his breast in an effort to escape the vile wind , slipped quickly through the glass doors of Victory Mansions , though not quickly enough to prevent a swirl of gritty dust from entering along with him .	2395	chin.n	119	Body_parts	MANUAL	1992374	20	23	MJE	chin
175	7	2	1	0	312902	Winston Smith , his chin nuzzled into his breast in an effort to escape the vile wind , slipped quickly through the glass doors of Victory Mansions , though not quickly enough to prevent a swirl of gritty dust from entering along with him .	2390	breast.n	119	Body_parts	MANUAL	1992375	42	47	MJE	breast
175	7	2	1	0	312902	Winston Smith , his chin nuzzled into his breast in an effort to escape the vile wind , slipped quickly through the glass doors of Victory Mansions , though not quickly enough to prevent a swirl of gritty dust from entering along with him .	10187	effort.n	116	Attempt	MANUAL	1992376	55	60	MJE	effort
175	7	2	1	0	312902	Winston Smith , his chin nuzzled into his breast in an effort to escape the vile wind , slipped quickly through the glass doors of Victory Mansions , though not quickly enough to prevent a swirl of gritty dust from entering along with him .	4999	escape.v	274	Avoiding	MANUAL	1992377	65	70	MJE	escape
